gene,gene_type,cattle,dog,cat,horse,chicken,swine,turkey
blaEC,chromosome,1,1,1,0.993421052631579,1,1,1
mdf(A),chromosome,0.98989898989899,1,1,0.993421052631579,1,0.9901960784313726,1
IncHl,plasmid,0.8131313131313131,0.5233160621761658,0.4393063583815029,0.5131578947368421,0.9,0.7450980392156863,0.9285714285714286
tet(34),chromosome,0.6313131313131313,0.3005181347150259,0.1676300578034682,0.7039473684210527,0.5666666666666667,0.7745098039215687,0.42857142857142855
strA,chromosome,0.5050505050505051,0.21243523316062177,0.07514450867052024,0.32894736842105265,0.13333333333333333,0.43137254901960786,0.38095238095238093
strB,chromosome,0.4595959595959596,0.18652849740932642,0.07514450867052024,0.3157894736842105,0.1,0.27450980392156865,0.3333333333333333
sul2,chromosome,0.45454545454545453,0.16580310880829016,0.04046242774566474,0.3618421052631579,0.10833333333333334,0.3333333333333333,0.38095238095238093
ColRNA-I,chromosome,0.4393939393939394,0.19170984455958548,0.4046242774566474,0.2894736842105263,0.4083333333333333,0.4215686274509804,0.5714285714285714
tet(A),chromosome,0.4292929292929293,0.11917098445595854,0.046242774566473986,0.09868421052631579,0.25833333333333336,0.4117647058823529,0.2857142857142857
aadA,chromosome,0.35858585858585856,0.20207253886010362,0.06936416184971098,0.32894736842105265,0.2,0.46078431372549017,0.35714285714285715
floR,chromosome,0.35353535353535354,0.04145077720207254,0.005780346820809248,0.046052631578947366,0.025,0.14705882352941177,0.047619047619047616
blaTEM-1,chromosome,0.3383838383838384,0.21761658031088082,0.2947976878612717,0.13815789473684212,0.20833333333333334,0.43137254901960786,0.35714285714285715
dfrA,chromosome,0.32323232323232326,0.17098445595854922,0.046242774566473986,0.375,0.09166666666666666,0.29411764705882354,0.16666666666666666
Col156,plasmid,0.10101010101010101,0.21243523316062177,0.36416184971098264,0.125,0.175,0.06862745098039216,0.21428571428571427
IncFII,plasmid,0.2878787878787879,0.32124352331606215,0.2832369942196532,0.2894736842105263,0.36666666666666664,0.4411764705882353,0.2857142857142857
tet(B),chromosome,0.23737373737373738,0.15025906735751296,0.06358381502890173,0.17105263157894737,0.075,0.4117647058823529,0.38095238095238093
Incl,plasmid,0.22727272727272727,0.21243523316062177,0.14450867052023122,0.15789473684210525,0.275,0.3235294117647059,0.30952380952380953
Col(MG828),plasmid,0.12121212121212122,0.09844559585492228,0.10982658959537572,0.17763157894736842,0.35833333333333334,0.21568627450980393,0.6190476190476191
sul1,chromosome,0.21212121212121213,0.09326424870466321,0.057803468208092484,0.1513157894736842,0.10833333333333334,0.22549019607843138,0.16666666666666666
qacE,plasmid,0.20202020202020202,0.09326424870466321,0.04046242774566474,0.19736842105263158,0.10833333333333334,0.22549019607843138,0.16666666666666666
blaCMY,chromosome,0.12121212121212122,0.17098445595854922,0.05202312138728324,0.046052631578947366,0.041666666666666664,0.16666666666666666,0.07142857142857142
aac(C),chromosome,0.16161616161616163,0.10362694300518134,0.03468208092485549,0.17105263157894737,0.23333333333333334,0.24509803921568626,0.2857142857142857
Col440-I,plasmid,0.0707070707070707,0.04145077720207254,0.017341040462427744,0.07236842105263158,0.041666666666666664,0.27450980392156865,0.07142857142857142
IncY,plasmid,0.13636363636363635,0.046632124352331605,0.017341040462427744,0.05263157894736842,0.016666666666666666,0.12745098039215685,0.023809523809523808
blaCTX-M,chromosome,0.12121212121212122,0.11917098445595854,0.023121387283236993,0.13815789473684212,0.016666666666666666,0.10784313725490197,0.047619047619047616
pESA2,plasmid,0.005050505050505051,0.010362694300518135,0.12716763005780346,0.05921052631578947,0,0,0
IncX1,plasmid,0.09090909090909091,0.06217616580310881,0.06936416184971098,0.06578947368421052,0.11666666666666667,0.20588235294117646,0.23809523809523808
qacL,plasmid,0.09090909090909091,0.025906735751295335,0,0.02631578947368421,0.03333333333333333,0.20588235294117646,0.023809523809523808
sul3,chromosome,0.08585858585858586,0.025906735751295335,0,0.03289473684210526,0.03333333333333333,0.20588235294117646,0.047619047619047616
IncB,plasmid,0.07575757575757576,0.010362694300518135,0.04046242774566474,0.13815789473684212,0.08333333333333333,0,0.023809523809523808
mef(B),chromosome,0.08585858585858586,0.025906735751295335,0,0.02631578947368421,0.025,0.18627450980392157,0.047619047619047616
catA,chromosome,0.06565656565656566,0.06217616580310881,0.028901734104046242,0.125,0.008333333333333333,0.058823529411764705,0
IncQ1,plasmid,0.09090909090909091,0.08290155440414508,0.023121387283236993,0.11842105263157894,0.016666666666666666,0.06862745098039216,0.023809523809523808
mph(A),chromosome,0.05555555555555555,0.08808290155440414,0.028901734104046242,0.09868421052631579,0.008333333333333333,0.11764705882352941,0
tet(M),chromosome,0.08080808080808081,0,0.005780346820809248,0,0,0.08823529411764706,0
cmlA,chromosome,0.045454545454545456,0.03626943005181347,0,0.013157894736842105,0.03333333333333333,0.1568627450980392,0.047619047619047616
p0111,plasmid,0.05555555555555555,0.031088082901554404,0.005780346820809248,0.05263157894736842,0.13333333333333333,0.0784313725490196,0.047619047619047616
Col440-II,plasmid,0.07575757575757576,0.025906735751295335,0.06358381502890173,0.006578947368421052,0.008333333333333333,0.058823529411764705,0.07142857142857142
RepA,plasmid,0.030303030303030304,0,0,0.02631578947368421,0.016666666666666666,0.13725490196078433,0.047619047619047616
ColpVC,plasmid,0.015151515151515152,0.025906735751295335,0.023121387283236993,0.006578947368421052,0.11666666666666667,0,0.14285714285714285
IncN,plasmid,0.06565656565656566,0.0051813471502590676,0,0.019736842105263157,0.025,0.058823529411764705,0
aac(A),chromosome,0.015151515151515152,0.04145077720207254,0.017341040462427744,0.08552631578947369,0,0.0392156862745098,0
ble,chromosome,0.015151515151515152,0.015544041450777202,0,0,0.008333333333333333,0.11764705882352941,0
lnu(F),plasmid,0.050505050505050504,0.010362694300518135,0.005780346820809248,0.013157894736842105,0.008333333333333333,0.06862745098039216,0.023809523809523808
tet(C),chromosome,0.050505050505050504,0,0,0.006578947368421052,0,0,0
IncX4,plasmid,0.025252525252525252,0.025906735751295335,0.017341040462427744,0.03289473684210526,0.03333333333333333,0.09803921568627451,0.09523809523809523
blaTEM-150,chromosome,0.045454545454545456,0.015544041450777202,0.005780346820809248,0.013157894736842105,0.008333333333333333,0,0.023809523809523808
IncA,plasmid,0.045454545454545456,0.025906735751295335,0.005780346820809248,0,0.008333333333333333,0.08823529411764706,0
IncR,plasmid,0.045454545454545456,0.0051813471502590676,0,0,0.016666666666666666,0.058823529411764705,0
Col8282,plasmid,0.04040404040404041,0.046632124352331605,0.028901734104046242,0.006578947368421052,0.03333333333333333,0.08823529411764706,0.14285714285714285
qnrB,chromosome,0.010101010101010102,0,0.005780346820809248,0.006578947368421052,0.008333333333333333,0.08823529411764706,0.023809523809523808
IncX3,plasmid,0.04040404040404041,0.031088082901554404,0.023121387283236993,0.03289473684210526,0.025,0.0392156862745098,0.14285714285714285
sat2,chromosome,0.04040404040404041,0.0051813471502590676,0,0.039473684210526314,0.008333333333333333,0,0.023809523809523808
qnrS,chromosome,0.010101010101010102,0,0,0.019736842105263157,0,0.0784313725490196,0
ColBS512),plasmid,0.005050505050505051,0.02072538860103627,0.005780346820809248,0.05263157894736842,0.008333333333333333,0.00980392156862745,0.023809523809523808
blaOXA,chromosome,0.025252525252525252,0.04145077720207254,0.023121387283236993,0.02631578947368421,0.008333333333333333,0.0196078431372549,0
catB,chromosome,0.015151515151515152,0.04145077720207254,0.017341040462427744,0.03289473684210526,0,0.00980392156862745,0
Col(MP18),plasmid,0,0,0,0.046052631578947366,0,0,0
arr-3,chromosome,0.005050505050505051,0,0.005780346820809248,0.039473684210526314,0,0.0196078431372549,0
qacG,plasmid,0.025252525252525252,0,0.005780346820809248,0,0,0.00980392156862745,0
blaTEM-104,chromosome,0.015151515151515152,0.010362694300518135,0.005780346820809248,0,0,0.049019607843137254,0
ColE10,plasmid,0,0,0,0,0.008333333333333333,0.049019607843137254,0
erm(B),chromosome,0,0.02072538860103627,0,0,0,0.049019607843137254,0
hph,chromosome,0,0,0,0,0.008333333333333333,0.049019607843137254,0.047619047619047616
arr-1,chromosome,0,0,0.005780346820809248,0.03289473684210526,0,0.029411764705882353,0
blaSHV,chromosome,0,0,0,0.03289473684210526,0,0.029411764705882353,0
fosA,chromosome,0.020202020202020204,0.0051813471502590676,0.005780346820809248,0.03289473684210526,0.008333333333333333,0.0196078431372549,0
tet(D),chromosome,0,0,0,0.03289473684210526,0,0.0196078431372549,0
rmtE,chromosome,0.020202020202020204,0,0,0.006578947368421052,0,0.00980392156862745,0
