mic_id,breakpoint,model,host_animal_common,.metric,.estimator,.estimate
amikacin,clsi,Base,dog,spec,binary,1
amikacin,clsi,Base,dog,sens,binary,1
amikacin,clsi,Base,dog,ppv,binary,1
amikacin,clsi,Base,dog,npv,binary,1
amikacin,clsi,Base,dog,accuracy,binary,1
amikacin,clsi,Base,dog,f_meas,binary,1
amoxicillin_clavulanic_acid,clsi,Base,dog,spec,binary,0.34615384615384615
amoxicillin_clavulanic_acid,clsi,Base,dog,sens,binary,0.8571428571428571
amoxicillin_clavulanic_acid,clsi,Base,dog,ppv,binary,0.2608695652173913
amoxicillin_clavulanic_acid,clsi,Base,dog,npv,binary,0.8999999999999999
amoxicillin_clavulanic_acid,clsi,Base,dog,accuracy,binary,0.45454545454545453
amoxicillin_clavulanic_acid,clsi,Base,dog,f_meas,binary,0.4
ampicillin,clsi,Base,cattle,spec,binary,1
ampicillin,clsi,Base,cattle,sens,binary,NA
ampicillin,clsi,Base,cattle,ppv,binary,NA
ampicillin,clsi,Base,cattle,npv,binary,NA
ampicillin,clsi,Base,cattle,accuracy,binary,1
ampicillin,clsi,Base,cattle,f_meas,binary,NA
ampicillin,clsi,Base,dog,spec,binary,0.08333333333333333
ampicillin,clsi,Base,dog,sens,binary,1
ampicillin,clsi,Base,dog,ppv,binary,0.3333333333333333
ampicillin,clsi,Base,dog,npv,binary,1
ampicillin,clsi,Base,dog,accuracy,binary,0.37142857142857144
ampicillin,clsi,Base,dog,f_meas,binary,0.5
ampicillin,clsi,Base,horse,spec,binary,1
ampicillin,clsi,Base,horse,sens,binary,0
ampicillin,clsi,Base,horse,ppv,binary,NA
ampicillin,clsi,Base,horse,npv,binary,0.96
ampicillin,clsi,Base,horse,accuracy,binary,0.96
ampicillin,clsi,Base,horse,f_meas,binary,NA
cefazolin,clsi,Base,dog,spec,binary,0.7058823529411765
cefazolin,clsi,Base,dog,sens,binary,1
cefazolin,clsi,Base,dog,ppv,binary,0.8275862068965517
cefazolin,clsi,Base,dog,npv,binary,1
cefazolin,clsi,Base,dog,accuracy,binary,0.8780487804878049
cefazolin,clsi,Base,dog,f_meas,binary,0.9056603773584906
cefovecin,clsi,Base,cat,spec,binary,1
cefovecin,clsi,Base,cat,sens,binary,1
cefovecin,clsi,Base,cat,ppv,binary,1
cefovecin,clsi,Base,cat,npv,binary,1
cefovecin,clsi,Base,cat,accuracy,binary,1
cefovecin,clsi,Base,cat,f_meas,binary,1
cefpodoxime,clsi,Base,dog,spec,binary,0.6666666666666666
cefpodoxime,clsi,Base,dog,sens,binary,1
cefpodoxime,clsi,Base,dog,ppv,binary,0.875
cefpodoxime,clsi,Base,dog,npv,binary,1
cefpodoxime,clsi,Base,dog,accuracy,binary,0.9
cefpodoxime,clsi,Base,dog,f_meas,binary,0.9333333333333333
ceftazidime,clsi,Base,dog,spec,binary,1
ceftazidime,clsi,Base,dog,sens,binary,0.9473684210526315
ceftazidime,clsi,Base,dog,ppv,binary,1
ceftazidime,clsi,Base,dog,npv,binary,0.8749999999999999
ceftazidime,clsi,Base,dog,accuracy,binary,0.9615384615384616
ceftazidime,clsi,Base,dog,f_meas,binary,0.972972972972973
cephalexin,clsi,Base,dog,spec,binary,0.46153846153846156
cephalexin,clsi,Base,dog,sens,binary,0.7
cephalexin,clsi,Base,dog,ppv,binary,0.33333333333333337
cephalexin,clsi,Base,dog,npv,binary,0.7999999999999999
cephalexin,clsi,Base,dog,accuracy,binary,0.5277777777777778
cephalexin,clsi,Base,dog,f_meas,binary,0.45161290322580644
enrofloxacin,clsi,Base,cat,spec,binary,NA
enrofloxacin,clsi,Base,cat,sens,binary,1
enrofloxacin,clsi,Base,cat,ppv,binary,NA
enrofloxacin,clsi,Base,cat,npv,binary,NA
enrofloxacin,clsi,Base,cat,accuracy,binary,1
enrofloxacin,clsi,Base,cat,f_meas,binary,1
enrofloxacin,clsi,Base,chicken,spec,binary,0
enrofloxacin,clsi,Base,chicken,sens,binary,1
enrofloxacin,clsi,Base,chicken,ppv,binary,0.9629629629629629
enrofloxacin,clsi,Base,chicken,npv,binary,NA
enrofloxacin,clsi,Base,chicken,accuracy,binary,0.9629629629629629
enrofloxacin,clsi,Base,chicken,f_meas,binary,0.9811320754716981
enrofloxacin,clsi,Base,dog,spec,binary,1
enrofloxacin,clsi,Base,dog,sens,binary,0
enrofloxacin,clsi,Base,dog,ppv,binary,NA
enrofloxacin,clsi,Base,dog,npv,binary,0.2142857142857143
enrofloxacin,clsi,Base,dog,accuracy,binary,0.21428571428571427
enrofloxacin,clsi,Base,dog,f_meas,binary,NA
enrofloxacin,clsi,Base,turkey,spec,binary,0
enrofloxacin,clsi,Base,turkey,sens,binary,1
enrofloxacin,clsi,Base,turkey,ppv,binary,0.8
enrofloxacin,clsi,Base,turkey,npv,binary,NA
enrofloxacin,clsi,Base,turkey,accuracy,binary,0.8
enrofloxacin,clsi,Base,turkey,f_meas,binary,0.888888888888889
gentamicin,clsi,Base,dog,spec,binary,0.6666666666666666
gentamicin,clsi,Base,dog,sens,binary,1
gentamicin,clsi,Base,dog,ppv,binary,0.975609756097561
gentamicin,clsi,Base,dog,npv,binary,1
