BP,Host Animal,mic_id,range,model
clsi,Cats,cefovecin,0.25,"Base, Binary-Count, Count"
clsi,Cats,enrofloxacin,0.10526315789473684,"Base, Binary-Count, Count, Only-Count"
clsi,Cattle,ampicillin,0,"Base, Binary, Binary-Count, Count, Full, Only-Binary, Only-Count"
clsi,Cattle,ceftiofur,0.19999999999999996,"Binary-Count, Count"
clsi,Chickens,enrofloxacin,0.10344827586206895,"Binary, Binary-Count, Count, Only-Binary, Only-Count"
clsi,Dogs,amikacin,0.25,"Base, Binary-Count, Count, Only-Count"
clsi,Dogs,amoxicillin_clavulanic_acid,0.5454545454545454,Count
clsi,Dogs,ampicillin,0.6285714285714286,Count
clsi,Dogs,cefazolin,0.33275261324041805,Count
clsi,Dogs,cefpodoxime,0.2057692307692307,"Binary-Count, Count"
clsi,Dogs,ceftazidime,0.2692307692307693,Binary-Count
clsi,Dogs,cephalexin,0.4722222222222222,Count
clsi,Dogs,enrofloxacin,0.7857142857142857,"Binary-Count, Count, Only-Count"
clsi,Dogs,gentamicin,0.06818181818181823,"Binary-Count, Only-Binary"
clsi,Dogs,marbofloxacin,0.8,"Binary-Count, Count"
clsi,Dogs,orbifloxacin,0.8,"Binary-Count, Count, Only-Count"
clsi,Dogs,piperacillin_tazobactam,0.15384615384615385,Count
clsi,Dogs,pradofloxacin,0.813953488372093,"Binary-Count, Count, Only-Count"
clsi,Horses,ampicillin,0.040000000000000036,"Binary-Count, Full, Only-Binary, Only-Count"
clsi,Turkeys,enrofloxacin,0.25,"Binary-Count, Count, Full, Only-Binary, Only-Count"
ecoff,Cats,ampicillin,0.2941176470588235,"Binary, Binary-Count"
ecoff,Cats,cefazolin,0.3142857142857143,Binary-Count
ecoff,Cats,cefpodoxime,0.08571428571428574,Base
ecoff,Cats,ceftazidime,1,"Base, Binary, Binary-Count, Count, Full"
ecoff,Cats,chloramphenicol,0.06451612903225812,"Binary-Count, Only-Binary, Only-Count"
ecoff,Cats,doxycycline,0.03448275862068961,"Binary, Binary-Count, Count"
ecoff,Cats,gentamicin,0.02631578947368418,"Base, Binary, Binary-Count, Count, Full, Only-Binary"
ecoff,Cats,tetracycline,0.027027027027026973,"Base, Binary, Binary-Count, Count, Only-Binary, Only-Count"
ecoff,Cats,trimethoprim_sulfamethoxazole,0.05405405405405406,"Binary, Binary-Count, Count, Only-Binary, Only-Count"
ecoff,Cattle,enrofloxacin,0.2682926829268293,"Binary-Count, Count"
ecoff,Cattle,gentamicin,0.11363636363636365,Binary-Count
ecoff,Cattle,neomycin,0.1282051282051282,"Binary-Count, Count, Only-Binary"
ecoff,Cattle,spectinomycin,0.09677419354838712,Full
ecoff,Cattle,tetracycline,0.33333333333333337,Binary-Count
ecoff,Cattle,trimethoprim_sulfamethoxazole,0.23529411764705888,"Base, Binary, Binary-Count, Count, Full, Only-Count"
ecoff,Chickens,amoxicillin,0.37037037037037035,"Binary-Count, Count, Full"
ecoff,Chickens,ceftiofur,0.16666666666666663,Binary-Count
ecoff,Chickens,gentamicin,0.10526315789473684,"Binary-Count, Count"
ecoff,Chickens,neomycin,0.033333333333333326,"Base, Binary, Binary-Count, Count, Full, Only-Count"
ecoff,Chickens,spectinomycin,0.050000000000000044,"Binary, Binary-Count, Count, Only-Binary"
ecoff,Chickens,streptomycin,0.26086956521739135,Count
ecoff,Chickens,tetracycline,0.09090909090909094,"Binary-Count, Count, Only-Count"
ecoff,Chickens,trimethoprim_sulfamethoxazole,0,"Base, Binary, Binary-Count, Count, Full, Only-Binary, Only-Count"
ecoff,Dogs,chloramphenicol,0.08333333333333337,"Count, Full, Only-Binary"
ecoff,Dogs,doxycycline,0.1333333333333333,Binary-Count
ecoff,Dogs,tetracycline,0.052631578947368474,"Binary-Count, Count, Full, Only-Binary, Only-Count"
ecoff,Dogs,trimethoprim_sulfamethoxazole,0.033333333333333326,"Binary, Binary-Count, Count, Full, Only-Count"
ecoff,Horses,ampicillin,0,"Binary, Binary-Count"
ecoff,Horses,ceftazidime,0.06874999999999998,Count
ecoff,Horses,ceftiofur,0.18518518518518523,Binary-Count
ecoff,Horses,tetracycline,0.0714285714285714,"Binary-Count, Count"
ecoff,Horses,ticarcillin_clavulanic_acid,0.16666666666666663,Binary-Count
ecoff,Horses,trimethoprim_sulfamethoxazole,0.07692307692307687,"Binary, Full"
ecoff,Swine,ampicillin,0.33333333333333337,Only-Count
ecoff,Swine,ceftiofur,0.2692307692307693,"Binary, Count"
ecoff,Swine,enrofloxacin,0.5,"Binary-Count, Count, Only-Count"
ecoff,Swine,gentamicin,0.09090909090909094,"Count, Full"
ecoff,Swine,neomycin,0.125,"Binary-Count, Count"
ecoff,Swine,spectinomycin,0.2222222222222222,Count
ecoff,Swine,tetracycline,0.2222222222222222,"Binary, Binary-Count, Only-Count"
ecoff,Turkeys,ceftiofur,0.19999999999999996,"Base, Binary, Full"
ecoff,Turkeys,gentamicin,0.125,"Base, Binary-Count, Count"
ecoff,Turkeys,trimethoprim_sulfamethoxazole,0.2222222222222222,"Base, Binary, Binary-Count, Count, Only-Binary, Only-Count"
