mic_id,test_type_antibiotic_class
amikacin,aminoglycoside
amikacin,aminoglycoside
gentamicin,aminoglycoside
gentamicin,aminoglycoside
streptomycin,aminoglycoside
rifampin,ansamycin
amoxicillin_clavulanic_acid,beta-lactam
amoxicillin_clavulanic_acid,beta-lactam
cefazolin,beta-lactam
cefovecin,beta-lactam
cefovecin,beta-lactam
ceftazidime,beta-lactam
piperacillin_tazobactam,beta-lactam
amoxicillin,beta-lactam
ceftiofur,beta-lactam
penicillin,beta-lactam
enrofloxacin,fluoroquinolone
marbofloxacin,fluoroquinolone
marbofloxacin,fluoroquinolone
pradofloxacin,fluoroquinolone
pradofloxacin,fluoroquinolone
danofloxacin,fluoroquinolone
clindamycin,lincosamide
gamithromycin,macrolide
tilmicosin,macrolide
tildipirosin,macrolide
tulathromycin,macrolide
chloramphenicol,phenicol
tiamulin,pleuromutilin
doxycycline,tetracycline
chlortetracycline,tetracycline
