gene,gene_type,sum
blaEC,chromosome,979
mdf(A),chromosome,976
IncHl,plasmid,639
tet(34),chromosome,484
ColRNA-I,chromosome,354
IncFII,plasmid,313
strA,chromosome,280
blaTEM-1,chromosome,265
aadA,chromosome,258
sul2,chromosome,247
strB,chromosome,242
tet(A),chromosome,216
Incl,plasmid,214
dfrA,chromosome,210
Col(MG828),plasmid,180
Col156,plasmid,180
tet(B),chromosome,180
aac(C),chromosome,149
qacE,plasmid,138
sul1,chromosome,136
floR,chromosome,106
blaCMY,chromosome,98
IncX1,plasmid,97
blaCTX-M,chromosome,87
Col440-I,plasmid,72
IncQ1,plasmid,66
IncY,plasmid,63
mph(A),chromosome,61
catA,chromosome,56
IncB,plasmid,56
sul3,chromosome,54
qacL,plasmid,53
p0111,plasmid,52
mef(B),chromosome,50
Col440-II,plasmid,42
Col8282,plasmid,42
cmlA,chromosome,40
IncX3,plasmid,36
IncX4,plasmid,36
pESA2,plasmid,34
ColpVC,plasmid,33
aac(A),chromosome,31
RepA,plasmid,28
IncN,plasmid,26
tet(M),chromosome,26
IncA,plasmid,25
blaOXA,chromosome,24
lnu(F),plasmid,24
catB,chromosome,20
ble,chromosome,19
IncR,plasmid,18
blaTEM-150,chromosome,17
ColBS512),plasmid,17
sat2,chromosome,17
qnrB,chromosome,15
fosA,chromosome,14
qnrS,chromosome,13
blaTEM-104,chromosome,11
tet(C),chromosome,11
NA,NA,11
aadB,chromosome,10
arr-2,chromosome,10
arr-3,chromosome,10
arr-1,chromosome,9
blaTEM-235,chromosome,9
erm(B),chromosome,9
blaSHV,chromosome,8
ere(A),chromosome,8
hph,chromosome,8
Col(MGD2),plasmid,7
Col(MP18),plasmid,7
IncP1,plasmid,7
qacG,plasmid,7
tet(D),chromosome,7
blaTEM-105,chromosome,6
ColE10,plasmid,6
mph(E),chromosome,6
msr(E),chromosome,6
rmtE,chromosome,6
mcr9,chromosome,5
oqxB,chromosome,5
blaHER,chromosome,4
blaTEM-102,chromosome,4
blaTEM-106,chromosome,4
blaTEM-135,chromosome,4
IncX9,plasmid,4
lnu(G),plasmid,4
blaCARB,chromosome,3
blaTEM-141,chromosome,3
pENTAS02,plasmid,3
rep13,plasmid,3
armA,chromosome,2
arsB,chromosome,2
blaA,chromosome,2
blaI,chromosome,2
blaLAP,chromosome,2
blaROB,chromosome,2
blaTEM-12,chromosome,2
Col3M,plasmid,2
crpP,chromosome,2
IncX2,plasmid,2
mef(C),chromosome,2
mph(G),chromosome,2
rep21,plasmid,2
blaBIL,chromosome,1
blaCFE,chromosome,1
blaPAO,chromosome,1
blaPC1,chromosome,1
blaPDC,chromosome,1
blaR1,chromosome,1
blaTEM-32,chromosome,1
blaTEM-34,chromosome,1
blaZ,chromosome,1
cml,chromosome,1
Col(KPHS6),plasmid,1
Col(Ye4449),plasmid,1
erm(37),chromosome,1
erm(42),chromosome,1
IncP6,plasmid,1
otr(A),chromosome,1
penA,chromosome,1
penI,chromosome,1
pSL483,plasmid,1
qnrV,chromosome,1
rep7a,plasmid,1
Rep7a,plasmid,1
repUS43,plasmid,1
rmtB,chromosome,1
rph,chromosome,1
smr,chromosome,1
spw,chromosome,1
