gene,gene_type,cattle,dog,cat,horse,chicken,swine,turkey
blaEC,chromosome,198,193,173,151,120,102,42
mdf(A),chromosome,196,193,173,151,120,101,42
IncHl,plasmid,161,101,76,78,108,76,39
tet(34),chromosome,125,58,29,107,68,79,18
strA,chromosome,100,41,13,50,16,44,16
strB,chromosome,91,36,13,48,12,28,14
sul2,chromosome,90,32,7,55,13,34,16
ColRNA-I,chromosome,87,37,70,44,49,43,24
tet(A),chromosome,85,23,8,15,31,42,12
aadA,chromosome,71,39,12,50,24,47,15
floR,chromosome,70,8,1,7,3,15,2
blaTEM-1,chromosome,67,42,51,21,25,44,15
dfrA,chromosome,64,33,8,57,11,30,7
Col156,plasmid,20,41,63,19,21,7,9
IncFII,plasmid,57,62,49,44,44,45,12
tet(B),chromosome,47,29,11,26,9,42,16
Incl,plasmid,45,41,25,24,33,33,13
Col(MG828),plasmid,24,19,19,27,43,22,26
sul1,chromosome,42,18,10,23,13,23,7
qacE,plasmid,40,18,7,30,13,23,7
blaCMY,chromosome,24,33,9,7,5,17,3
aac(C),chromosome,32,20,6,26,28,25,12
Col440-I,plasmid,14,8,3,11,5,28,3
IncY,plasmid,27,9,3,8,2,13,1
blaCTX-M,chromosome,24,23,4,21,2,11,2
pESA2,plasmid,1,2,22,9,NA,NA,NA
IncX1,plasmid,18,12,12,10,14,21,10
qacL,plasmid,18,5,NA,4,4,21,1
sul3,chromosome,17,5,NA,5,4,21,2
IncB,plasmid,15,2,7,21,10,NA,1
mef(B),chromosome,17,5,NA,4,3,19,2
catA,chromosome,13,12,5,19,1,6,NA
IncQ1,plasmid,18,16,4,18,2,7,1
mph(A),chromosome,11,17,5,15,1,12,NA
tet(M),chromosome,16,NA,1,NA,NA,9,NA
cmlA,chromosome,9,7,NA,2,4,16,2
p0111,plasmid,11,6,1,8,16,8,2
Col440-II,plasmid,15,5,11,1,1,6,3
RepA,plasmid,6,NA,NA,4,2,14,2
ColpVC,plasmid,3,5,4,1,14,NA,6
IncN,plasmid,13,1,NA,3,3,6,NA
aac(A),chromosome,3,8,3,13,NA,4,NA
ble,chromosome,3,3,NA,NA,1,12,NA
lnu(F),plasmid,10,2,1,2,1,7,1
tet(C),chromosome,10,NA,NA,1,NA,NA,NA
IncX4,plasmid,5,5,3,5,4,10,4
blaTEM-150,chromosome,9,3,1,2,1,NA,1
IncA,plasmid,9,5,1,NA,1,9,NA
IncR,plasmid,9,1,NA,NA,2,6,NA
Col8282,plasmid,8,9,5,1,4,9,6
qnrB,chromosome,2,NA,1,1,1,9,1
IncX3,plasmid,8,6,4,5,3,4,6
sat2,chromosome,8,1,NA,6,1,NA,1
qnrS,chromosome,2,NA,NA,3,NA,8,NA
ColBS512),plasmid,1,4,1,8,1,1,1
blaOXA,chromosome,5,8,4,4,1,2,NA
catB,chromosome,3,8,3,5,NA,1,NA
Col(MP18),plasmid,NA,NA,NA,7,NA,NA,NA
arr-3,chromosome,1,NA,1,6,NA,2,NA
qacG,plasmid,5,NA,1,NA,NA,1,NA
blaTEM-104,chromosome,3,2,1,NA,NA,5,NA
ColE10,plasmid,NA,NA,NA,NA,1,5,NA
erm(B),chromosome,NA,4,NA,NA,NA,5,NA
hph,chromosome,NA,NA,NA,NA,1,5,2
arr-1,chromosome,NA,NA,1,5,NA,3,NA
blaSHV,chromosome,NA,NA,NA,5,NA,3,NA
fosA,chromosome,4,1,1,5,1,2,NA
tet(D),chromosome,NA,NA,NA,5,NA,2,NA
rmtE,chromosome,4,NA,NA,1,NA,1,NA
NA,NA,4,4,1,2,NA,NA,NA
arr-2,chromosome,1,NA,1,4,NA,4,NA
blaHER,chromosome,NA,NA,NA,NA,NA,NA,4
ere(A),chromosome,1,NA,NA,4,NA,3,NA
mcr9,chromosome,NA,NA,NA,4,NA,1,NA
blaTEM-105,chromosome,3,1,NA,1,1,NA,NA
blaTEM-235,chromosome,3,1,1,1,2,1,NA
aadB,chromosome,1,2,NA,3,1,3,NA
lnu(G),plasmid,NA,1,NA,NA,NA,3,NA
mph(E),chromosome,NA,NA,NA,3,NA,3,NA
msr(E),chromosome,NA,NA,NA,3,NA,3,NA
IncP1,plasmid,2,3,NA,2,NA,NA,NA
arsB,chromosome,2,NA,NA,NA,NA,NA,NA
blaTEM-102,chromosome,2,1,NA,NA,NA,1,NA
Col(MGD2),plasmid,2,1,NA,NA,1,2,1
oqxB,chromosome,2,1,1,1,NA,NA,NA
pENTAS02,plasmid,2,NA,NA,NA,NA,1,NA
armA,chromosome,NA,NA,NA,NA,NA,2,NA
blaTEM-141,chromosome,1,NA,NA,NA,NA,2,NA
IncX2,plasmid,NA,NA,NA,NA,NA,2,NA
IncX9,plasmid,1,NA,NA,1,2,NA,NA
blaI,chromosome,NA,NA,NA,2,NA,NA,NA
blaA,chromosome,1,NA,NA,1,NA,NA,NA
blaCARB,chromosome,1,1,NA,NA,NA,NA,1
blaCFE,chromosome,1,NA,NA,NA,NA,NA,NA
blaLAP,chromosome,1,NA,NA,NA,NA,1,NA
blaROB,chromosome,1,1,NA,NA,NA,NA,NA
Col3M,plasmid,1,1,NA,NA,NA,NA,NA
crpP,chromosome,1,NA,NA,NA,NA,1,NA
mef(C),chromosome,1,NA,NA,NA,NA,1,NA
mph(G),chromosome,1,NA,NA,NA,NA,1,NA
penA,chromosome,1,NA,NA,NA,NA,NA,NA
Rep7a,plasmid,1,NA,NA,NA,NA,NA,NA
rmtB,chromosome,1,NA,NA,NA,NA,NA,NA
blaTEM-106,chromosome,NA,NA,1,1,NA,1,1
blaTEM-12,chromosome,NA,NA,NA,NA,1,1,NA
blaTEM-135,chromosome,NA,NA,1,1,NA,1,1
blaTEM-32,chromosome,NA,NA,NA,NA,NA,1,NA
cml,chromosome,NA,NA,NA,NA,NA,1,NA
Col(Ye4449),plasmid,NA,NA,NA,NA,NA,1,NA
erm(42),chromosome,NA,NA,NA,NA,NA,1,NA
IncP6,plasmid,NA,NA,NA,NA,NA,1,NA
rep13,plasmid,NA,NA,1,1,NA,1,NA
erm(37),chromosome,NA,NA,NA,NA,1,NA,NA
blaPAO,chromosome,NA,NA,NA,NA,NA,NA,1
blaPDC,chromosome,NA,NA,NA,NA,NA,NA,1
otr(A),chromosome,NA,NA,NA,NA,NA,NA,1
repUS43,plasmid,NA,NA,NA,NA,NA,NA,1
smr,chromosome,NA,NA,NA,NA,NA,NA,1
blaPC1,chromosome,NA,NA,NA,1,NA,NA,NA
blaR1,chromosome,NA,NA,NA,1,NA,NA,NA
blaZ,chromosome,NA,NA,NA,1,NA,NA,NA
rep21,plasmid,NA,1,NA,1,NA,NA,NA
rep7a,plasmid,NA,NA,NA,1,NA,NA,NA
blaBIL,chromosome,NA,NA,1,NA,NA,NA,NA
blaTEM-34,chromosome,NA,NA,1,NA,NA,NA,NA
penI,chromosome,NA,NA,1,NA,NA,NA,NA
Col(KPHS6),plasmid,NA,1,NA,NA,NA,NA,NA
pSL483,plasmid,NA,1,NA,NA,NA,NA,NA
qnrV,chromosome,NA,1,NA,NA,NA,NA,NA
