Group,Class,Antibiotic,Gene,Odds Ratio,Pval
clsi,aminoglycoside,amikacin,aminoglycoside,"2.8 (1.17,6.97)",0.0221346507164366
clsi,aminoglycoside,gentamicin,aminoglycoside,"78.3 (23.49,486.05)",5.583942938385752e-9
wt,aminoglycoside,gentamicin,aminoglycoside,"24.13 (12.39,52.43)",3.5419715765068756e-17
wt,aminoglycoside,neomycin,macrolide,"3.02 (1.72,5.31)",8.1411041308889e-4
wt,aminoglycoside,streptomycin,aminoglycoside,"21.96 (6.93,98.45)",2.1292190922717898e-5
wt,folate pathway antagonist,trimethoprim_sulfamethoxazole,folate pathway antagonist,"165.54 (93.38,310.09)",1.3133176174306264e-61
wt,macrolide,gamithromycin,aminoglycoside,"8.45 (3.03,30.23)",0.001180567289348517
wt,macrolide,tulathromycin,macrolide,"4.51 (2.19,9.25)",2.995162884077703e-4
wt,phenicol,chloramphenicol,phenicol,"28.74 (15.65,54.66)",7.385598620493077e-25
wt,phenicol,florfenicol,phenicol,"53.11 (27.01,114.13)",2.943131409543022e-26
wt,sulfonamide,sulphadimethoxine,sulfonamide,"107.01 (52.09,247.88)",5.649191801351046e-31
wt,sulfonamide,sulphathiazole,sulfonamide,"824.14 (166.8,7067.72)",6.323704766894235e-12
wt,tetracycline,chlortetracycline,tetracycline,"16.26 (5.96,52.56)",3.197293410811763e-6
wt,tetracycline,doxycycline,tetracycline,"34.95 (15.5,95.01)",5.102956758697799e-14
wt,tetracycline,oxytetracycline,tetracycline,"18.42 (8.72,43.21)",7.090817660704459e-12
wt,tetracycline,tetracycline,tetracycline,"38.49 (20.47,80.71)",8.794303806497416e-25
