equal,num,t_ecoff,phenotype
<=,4,8,S
=,8,8,S
=,2,8,S
>,8,8,R
=,4,8,S
=,1,8,S
>,16,8,R
<=,0.25,8,S
>,32,8,R
>,32,4,R
=,2,4,S
<=,1,4,S
=,4,4,S
<=,4,4,S
=,16,4,R
=,8,4,R
>,8,NA,NI
=,1,NA,NI
=,4,NA,NI
=,0.5,NA,NI
<=,0.25,NA,NI
=,2,NA,NI
=,0.25,NA,NI
>,8,2,R
<=,1,2,S
=,4,2,R
=,8,2,R
=,2,2,S
=,16,1,R
<=,4,1,NI
>,16,1,R
<=,1,1,S
>,64,1,R
=,64,1,R
=,2,1,R
=,32,1,R
=,8,1,R
=,4,1,R
<=,0.25,1,S
>,16,32,NI
=,8,32,S
=,4,32,S
=,16,32,S
=,16,16,S
=,4,16,S
=,8,16,S
=,32,16,R
<=,2,16,S
>,32,16,R
<=,4,16,S
<=,8,16,S
<=,0.25,16,S
>,8,16,NI
>,8,4,R
=,0.5,4,S
=,1,4,S
<=,0.25,4,S
<=,2,4,S
<=,0.12,4,S
<=,0.13,0.125,NI
<=,0.12,0.125,S
=,1,0.125,R
<=,0.125,0.125,S
>,2,0.125,R
=,0.5,0.125,R
=,0.25,0.125,R
<=,0.25,0.125,NI
>,4,0.125,R
=,2,0.125,R
>,8,0.125,R
=,8,0.125,R
=,4,0.125,R
=,1,2,S
=,0.5,2,S
<=,0.25,2,S
<=,0.5,2,S
>,16,2,R
=,16,2,R
<=,4,2,NI
>,32,2,R
=,32,2,R
<=,1,0.5,NI
=,2,0.5,R
<=,0.12,0.5,S
>,2,0.5,R
=,0.25,0.5,S
=,1,0.5,R
<=,0.13,NA,NI
<=,0.12,NA,NI
<=,0.125,NA,NI
>,4,NA,NI
<=,1,NA,NI
>,64,8,R
<=,8,8,S
=,32,8,R
=,64,8,R
>,2,NA,NI
=,0.5,8,S
<=,2,8,S
<=,0.5,8,S
=,16,8,R
>,4,8,NI
<=,0.5,0.5,S
<=,2,0.5,NI
>,4,0.5,R
=,4,0.5,R
>,32,0.5,R
=,0.5,1,S
>,4,1,R
=,1,1,S
>,8,1,R
>,32,1,R
>,16,NA,NI
=,16,NA,NI
<=,0.5,NA,NI
>,1,NA,NI
=,8,NA,NI
=,2,16,S
=,0.5,16,S
=,1,16,S
<=,1,16,S
>,256,NA,NI
<=,256,NA,NI
<=,0.06,NA,NI
=,32,NA,NI
>,64,NA,NI
<=,8,NA,NI
=,128,NA,NI
=,256,NA,NI
=,64,NA,NI
<=,32,NA,NI
>,64,64,R
=,16,64,S
<=,8,64,S
=,64,64,S
=,32,64,S
>,32,64,NI
=,256,16,R
=,128,16,R
=,64,16,R
=,512,16,R
>,1024,16,R
>,20,NA,NI
>,32,NA,NI
=,20,NA,NI
<=,2,NA,NI
<=,4,NA,NI
>,4,16,NI
>,64,16,R
<=,0.5,16,S
<=,2,32,S
<=,0.5,4,S
<=,16,64,S
