mic_id,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions,Observations,(T)ECOFF,Confidence interval
amikacin,0,0,0,2,1,0,1,28,329,4723,15660,6316,1134,191,56,36,4,5,45,21,28531,8,8-Apr
amoxicillin,0,0,0,0,0,0,0,0,9,94,735,1614,511,24,6,718,611,53,275,19,4650,8,16-Aug
amoxicillin_clavulanic_acid,0,0,0,0,0,0,0,0,0,419,2121,3316,1786,997,501,313,230,389,65,3,10137,,
ampicillin,0,0,0,0,0,0,6,21,152,5308,30179,28801,4002,749,16843,11012,1527,6687,196,53,105483,8,16-Apr
Ampicillin-sulbactam (fixed),0,0,0,0,0,0,0,0,2,20,12,1,0,2,3,3,7,0,0,1,50,,
Ampicillin-sulbactam (ratio),0,0,0,0,0,0,6,11,71,393,2935,1949,744,1998,1605,1085,0,0,0,2,10797,,
azithromycin,0,0,0,0,0,0,0,3,36,269,2762,6548,907,31,28,0,0,0,0,3,10584,16,16-Apr
Aztreonam,0,0,0,4,486,846,581,121,32,14,18,29,25,18,18,58,0,0,0,3,2250,0.25,0.016 - 1
Cefaclor,0,0,0,0,0,0,0,2,31,60,25,22,3,0,4,2,0,1,0,1,150,,
Cefadroxil,0,0,0,0,0,0,0,0,0,0,0,8,60,54,18,1,3,2,0,2,146,,
cephalexin,0,0,0,0,0,0,0,0,1,0,7,89,124,25,17,1,3,0,0,3,267,32,Apr-32
Cefaloridine,0,0,0,0,0,0,0,0,1,5,17,30,28,1,14,0,0,0,0,1,96,,
cephalothin,0,0,0,0,0,0,0,0,4,47,227,1005,2578,1644,468,389,53,10,8,15,6433,32,16 - 64
cefazolin,0,0,0,0,0,0,0,0,37,142,113,41,18,11,17,1,1,0,0,5,381,4,0.5 - 16
Cefepime,0,0,99,482,4110,4310,1259,400,201,128,119,193,208,179,214,216,269,129,403,33,12919,0.125,0.06 - 0.25
Cefepime-enmetazobactam-4,0,0,14,386,2686,1905,515,180,53,19,10,5,4,3,2,0,3,0,0,9,5785,0.125,0.06 - 0.25
Cefepime-enmetazobactam-8,0,0,13,350,2631,1540,376,118,30,10,5,6,4,2,1,0,2,0,0,8,5088,0.125,0.06 - 0.125
Cefepime-tazobactam,3,0,24,784,4732,2462,627,203,91,75,54,30,17,11,6,24,88,2,2,3,9235,0.25,0.03 - 0.5
Cefepime-zidebactam,1,48,20,557,6226,2231,1534,242,30,10,7,1,0,0,0,0,0,0,0,3,10907,0.125,0.03 - 0.125
Cefiderocol,45,210,300,371,314,435,566,481,190,53,26,9,7,5,2,3,2,0,2,5,3021,-,
Cefixime,0,0,3,4,22,101,152,116,77,30,11,11,7,4,4,3,1,1,1,4,548,1,0.25 - 8
Cefoperazone,0,0,0,0,0,22,122,165,50,59,26,17,12,26,6,13,20,159,0,3,697,1,0.25 - 2
Cefoselis,0,0,1,23,144,113,50,11,4,2,3,3,4,7,6,10,13,38,69,5,501,-,
Cefotaxime,0,5,37,303,1618,4952,2362,470,189,80,49,47,38,52,71,131,24,31,28,44,10487,0.25,0.125 - 0.25
Cefotaxime-clavulanate,0,0,15,13,125,165,90,16,6,5,6,2,1,1,10,0,0,1,0,8,456,0.25,
Cefoxitin,0,0,0,0,0,0,2,29,182,4486,28143,40880,12412,2912,1998,1873,15,12,0,26,92944,16,Aug-32
Cefpirome,0,0,1,234,1503,2359,1023,268,88,47,46,20,9,14,16,9,86,5,0,7,5728,0.25,0.06 - 0.25
cefpodoxime,0,0,0,0,0,0,66,571,722,161,51,21,15,12,19,13,114,0,0,3,1765,2,0.25 - 4
Cefquinome,0,0,0,0,0,275,28,2,2,1,0,0,0,0,0,0,0,0,0,2,308,,
Cefradine,0,0,0,0,0,0,0,0,0,0,0,0,44,31,21,0,0,0,0,1,96,,
Ceftaroline,0,0,0,0,102,256,153,67,37,21,10,5,9,3,59,0,0,0,0,2,722,,
ceftazidime,0,0,14,42,182,1624,5390,5260,1199,311,180,138,123,144,142,81,132,19,5,70,14986,1,0.25 - 1
Ceftazidime-avibactam,0,0,1,1,4,27,61,36,27,30,33,17,8,4,1,2,28,13,0,3,293,,
Ceftazidime-clavulanate,0,0,50,39,154,509,890,690,165,42,35,28,38,16,9,17,2,1,0,42,2685,1,
Ceftibuten,0,0,2,7,23,425,929,1356,301,67,15,9,18,47,0,0,0,1,0,4,3200,1,0.5 - 2
ceftiofur,0,0,0,0,0,0,1681,16241,15649,869,166,436,1190,626,0,0,0,0,0,12,36858,1,0.5 - 1
Ceftobiprole,0,0,3,326,3050,1634,298,86,28,22,4,10,17,369,23,136,29,0,0,8,6035,0.125,0.06 - 0.125
Ceftolozane,0,0,0,0,1,8,730,1018,807,54,40,121,148,139,215,463,0,0,0,5,3744,1,0.25 - 8
Ceftolozane-tazobactam,0,0,0,0,1,80,1995,1820,682,336,116,69,45,27,27,17,0,0,0,11,5215,1,0.5 - 4
Ceftriaxone,0,0,28,144,461,220,33,8,3,2,2,2,2,0,3,0,0,0,0,4,908,0.125,0.03 - 0.5
Cefuroxime,0,0,1,1,1,5,93,161,1475,4624,20855,46657,14450,3200,3773,263,260,98,73,29,95990,8,16-Aug
chloramphenicol,0,0,0,0,0,0,0,0,0,2,2336,21965,19115,752,305,736,387,254,0,40,45852,16,16-Aug
Ciprofloxacin,14,189,3952,7238,1355,356,401,521,171,94,47,119,246,229,564,166,85,59,7,53,15667,0.06,0.03 - 0.06
Colistin,0,0,0,0,0,2,231,2058,2747,845,56,16,14,5,8,2,30,0,0,13,6014,2,0.25 - 2
Delafloxacin,0,29,120,1288,3862,1898,491,598,270,205,890,1603,749,138,0,0,0,157,27,9,12325,0.125,0.06 - 0.5
Doripenem,0,0,6,407,1850,95,13,4,0,0,0,1,0,0,0,0,0,0,0,4,2376,0.06,0.016 - 0.06
doxycycline,0,0,0,0,0,0,1,25,223,865,1066,366,751,755,555,142,6,1,0,16,4756,4,
enrofloxacin,0,0,0,0,832,1994,153,20,26,11,1,1,1,0,0,0,0,0,0,11,3039,0.125,
Eravacycline,0,0,0,21,2,139,884,456,87,17,5,1,0,0,0,0,0,0,0,5,1612,0.5,
Ertapenem,0,40,691,178,42,23,10,2,0,0,0,0,2,0,0,0,0,0,0,4,988,0.03,
florfenicol,0,0,0,0,0,0,1,1,2,16,559,7207,7176,633,51,67,212,162,105,106,16192,16,16-Aug
Flumequine,0,0,0,0,0,0,1,37,1651,446,31,88,288,192,28,37,40,0,0,10,2839,2,
Fosfomycin,0,0,0,0,0,0,73,349,588,791,253,77,68,45,38,18,25,24,2,11,2351,4,4-Jan
gentamicin,0,0,4,6,25,49,522,8516,32023,20499,3360,799,1362,3725,6360,512,138,166,70,82,78136,2,2-Jan
imipenem,0,0,36,91,315,4895,14910,9106,2047,433,212,68,21,22,8,10,2,0,0,57,32176,0.5,0.25 - 0.5
Imipenem-relebactam,0,0,0,0,0,1417,10036,982,250,77,6,5,7,3,3,0,0,0,0,1,12786,,
Kanamycin,0,0,0,0,0,0,3,127,333,368,720,1238,507,107,59,181,34,183,0,4,3860,8,
Levofloxacin,0,0,4,81,1091,752,176,70,111,32,10,33,100,208,108,2,0,0,0,5,2778,0.125,0.03 - 0.25
Loracarbef,0,0,0,0,0,0,0,10,122,288,90,22,7,4,4,2,0,0,1,2,550,-,
Mecillinam,0,0,0,0,7,225,667,241,125,115,51,18,17,5,5,7,6,8,5,4,1502,0.5,0.25 - 0.5
Meropenem,0,0,668,3809,2274,272,77,40,13,11,5,6,6,8,8,0,0,0,0,42,7197,0.06,0.03 - 0.06
Meropenem-vaborbactam,0,0,1,46,7,4,1,5,4,8,4,4,9,8,6,7,0,0,0,2,114,,
minocycline,0,0,0,0,0,0,1,16,212,588,292,113,82,138,48,8,0,0,0,6,1498,4,
Moxifloxacin,0,0,9,78,472,809,132,62,92,46,17,19,79,188,180,2,0,1,0,5,2186,0.25,0.06 - 0.5
Nalidixic acid,0,0,0,0,0,0,0,0,192,4751,23654,8395,441,124,151,1227,288,94,0,10,39317,8,
neomycin,0,0,0,0,0,0,0,1,4,1475,1421,741,94,17,91,61,21,20,0,15,3946,8,
