gene,gene_identifier,card_id,gene_name_family_desc,gene_name_family,gene_type,resistance_class,resistance_drug,combo
A7J112581,ant(3'')-Ih/aac(6')-IId,AAC(6')-Iid,"ANT(3''), AAC(6')",ANT(3''),chromosome,aminoglycoside,spectinomycin,A7J112581 spectinomycin
A7J112581,ant(3'')-Ih/aac(6')-IId,AAC(6')-Iid,"ANT(3''), AAC(6')",ANT(3''),chromosome,aminoglycoside,spectinomycin,A7J112581 spectinomycin
A7J112581,ant(3'')-Ih/aac(6')-IId,AAC(6')-Iid,"ANT(3''), AAC(6')",ANT(3''),chromosome,aminoglycoside,spectinomycin,A7J112581 spectinomycin
A7J112581,ant(3'')-Ih/aac(6')-IId,AAC(6')-Iid,"ANT(3''), AAC(6')",ANT(3''),chromosome,aminoglycoside,spectinomycin,A7J112581 spectinomycin
A7J112581,ant(3'')-Ih/aac(6')-IId,AAC(6')-Iid,"ANT(3''), AAC(6')",ANT(3''),chromosome,aminoglycoside,spectinomycin,A7J112581 spectinomycin
A7J112581,ant(3'')-Ih/aac(6')-IId,AAC(6')-Iid,"ANT(3''), AAC(6')",ANT(3''),chromosome,aminoglycoside,streptomycin,A7J112581 streptomycin
A7J112581,ant(3'')-Ih/aac(6')-IId,AAC(6')-Iid,"ANT(3''), AAC(6')",ANT(3''),chromosome,aminoglycoside,streptomycin,A7J112581 streptomycin
A7J112581,ant(3'')-Ih/aac(6')-IId,AAC(6')-Iid,"ANT(3''), AAC(6')",ANT(3''),chromosome,aminoglycoside,streptomycin,A7J112581 streptomycin
A7J112581,ant(3'')-Ih/aac(6')-IId,AAC(6')-Iid,"ANT(3''), AAC(6')",ANT(3''),chromosome,aminoglycoside,streptomycin,A7J112581 streptomycin
A7J112581,ant(3'')-Ih/aac(6')-IId,AAC(6')-Iid,"ANT(3''), AAC(6')",ANT(3''),chromosome,aminoglycoside,streptomycin,A7J112581 streptomycin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ib gentamicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ib gentamicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ib gentamicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ib gentamicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ib gentamicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ib sisomicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ib sisomicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ib sisomicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ib sisomicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ib sisomicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ib fortimicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ib fortimicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ib fortimicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ib fortimicin
aac(3)-Ib,AAC(3)-Ib,AAC(3)-Ib,AAC(3),AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ib fortimicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ib-aac(6')-Ib' gentamicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ib-aac(6')-Ib' gentamicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ib-aac(6')-Ib' gentamicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ib-aac(6')-Ib' gentamicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ib-aac(6')-Ib' gentamicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ib-aac(6')-Ib' sisomicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ib-aac(6')-Ib' sisomicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ib-aac(6')-Ib' sisomicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ib-aac(6')-Ib' sisomicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ib-aac(6')-Ib' sisomicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ib-aac(6')-Ib' fortimicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ib-aac(6')-Ib' fortimicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ib-aac(6')-Ib' fortimicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ib-aac(6')-Ib' fortimicin
aac(3)-Ib-aac(6')-Ib',AAC(3)-Ib,AAC(3)-Ib/AAC(6')-Ib'',"AAC(3), AAC(6')",AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ib-aac(6')-Ib' fortimicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ic gentamicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ic gentamicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ic gentamicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ic gentamicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,gentamicin,aac(3)-Ic gentamicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ic sisomicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ic sisomicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ic sisomicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ic sisomicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,sisomicin,aac(3)-Ic sisomicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ic fortimicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ic fortimicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ic fortimicin
aac(3)-Ic,AAC(3)-Ic,AAC(3)-Ic,AAC(3),AAC(3),chromosome,aminoglycoside,fortimicin,aac(3)-Ic fortimicin
