host_animal_common,sample_id,gene,gene_type,gene_identifier,gene_name_family,resistance_class
cat,AL36849PPY10008,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
cat,AL36849PPY10008,tet(34),chromosome,tet34,tet,tetracycline
cat,AL36849PPY10008,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
cat,AL36849PPY10008,tet(B),chromosome,tet(B),MFS,tetracycline
cat,AL36849PPY10008,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
cat,AL36849PPY10008,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
cat,AL36849PPY10008,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
cat,AL36849PPY10008,IncFII(pSE11)_pSE11,plasmid,IncFII(pSE11)_pSE11,,MULTI-DRUG
cat,AL36849PPY10008,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,AL36849PPY10008,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
cat,AL36849PPY10042,tet(B),chromosome,tet(B),MFS,tetracycline
cat,AL36849PPY10042,sul2,chromosome,sul2,sul,sulfonamide
cat,AL36849PPY10042,aph(3'')-Ib,chromosome,APH(3'')-Ib,APH(3''),aminoglycoside
cat,AL36849PPY10042,aph(6)-Id,chromosome,APH(6)-Id,APH(6),aminoglycoside
cat,AL36849PPY10042,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,AL36849PPY10042,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
cat,AL36849PPY10042,IncQ1,plasmid,IncQ1,,MULTI-DRUG
cat,AL36849PPY10042,IncHI1B(R27)_R27,plasmid,IncHI1B(R27)_R27,,MULTI-DRUG
cat,AL36849PPY10042,IncHI1A,plasmid,IncHI1A,,MULTI-DRUG
cat,AL36849PPY10042,IncFIA(HI1)_HI1,plasmid,IncFIA(HI1)_HI1,,MULTI-DRUG
cat,AL36849PPY10042,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,AL36849PPY10042,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
cat,CO80526PPY10081,tet(34),chromosome,tet34,tet,tetracycline
cat,CO80526PPY10081,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
cat,CO80526PPY10081,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,CO80526PPY10093,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,CO80526PPY10093,Col156,plasmid,Col156,,colistin
cat,CO80526PPY10093,ColRNAI,plasmid,ColRNAI,,colistin
cat,CO80526PPY10093,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,FL34741PPY10003,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,FL34741PPY10003,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
cat,FL34741PPY10003,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
cat,FL34741PPY10003,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
cat,FL34741PPY10003,pESA2,plasmid,pESA2,,MULTI-DRUG
cat,FL34741PPY10003,Col156,plasmid,Col156,,colistin
cat,FL34741PPY10003,ColRNAI,plasmid,ColRNAI,,colistin
cat,FL34741PPY10003,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
cat,FL34741PPY10003,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,FL34741PPY10021,blaCMY-2,chromosome,CMY-2,CMY,beta-lactam
cat,FL34741PPY10021,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,FL34741PPY10021,tet(34),chromosome,tet34,tet,tetracycline
cat,FL34741PPY10021,IncFII(pHN7A8)_pHN7A8,plasmid,IncFII(pHN7A8)_pHN7A8,,MULTI-DRUG
cat,FL34741PPY10021,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,GA30602PPY10121,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,GA30602PPY10121,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
cat,GA30602PPY10121,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
cat,GA30602PPY10121,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,GA30602PPY10141,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,GA30602PPY10141,IncFII,plasmid,IncFII,,MULTI-DRUG
cat,GA30602PPY10141,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,IN47907PPY10032,tet(34),chromosome,tet34,tet,tetracycline
cat,IN47907PPY10032,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,IN47907PPY10032,IncFII(29)_pUTI89,plasmid,IncFII(29)_pUTI89,,MULTI-DRUG
cat,IN47907PPY10032,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
cat,IN47907PPY10032,Col156,plasmid,Col156,,colistin
cat,IN47907PPY10032,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,IN47907PPY10188,tet(34),chromosome,tet34,tet,tetracycline
cat,IN47907PPY10188,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,IN47907PPY10188,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,KY40511PPY10062,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,KY40511PPY10062,Col156,plasmid,Col156,,colistin
cat,KY40511PPY10062,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,KY40511PPY10094,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,KY40511PPY10094,Col(MG828),plasmid,Col(MG828),,colistin
cat,KY40511PPY10094,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,MI48910PPY10082,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,MI48910PPY10082,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
cat,MI48910PPY10082,ColRNAI,plasmid,ColRNAI,,colistin
cat,MI48910PPY10082,Col156,plasmid,Col156,,colistin
cat,MI48910PPY10082,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,MI48910PPY10082,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
cat,MI48910PPY10093,blaEC,chromosome,blaEC,ampC,beta-lactam
cat,MI48910PPY10093,tet(34),chromosome,tet34,tet,tetracycline
cat,MI48910PPY10093,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
cat,MI48910PPY10093,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
cat,MI48910PPY10093,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
cat,MI48910PPY10093,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,MO65211PPY10005,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,MO65211PPY10005,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
cat,MO65211PPY10005,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
cat,MO65211PPY10005,Col156,plasmid,Col156,,colistin
cat,MO65211PPY10005,ColRNAI,plasmid,ColRNAI,,colistin
cat,MO65211PPY10005,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,MO65211PPY15019,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,MO65211PPY15019,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
cat,MO65211PPY15019,IncFIB(pHCM2)_pHCM2,plasmid,IncFIB(pHCM2)_pHCM2,,MULTI-DRUG
cat,MO65211PPY15019,IncFIA,plasmid,IncFIA,,MULTI-DRUG
cat,MO65211PPY15019,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
cat,MO65211PPY15019,Col156,plasmid,Col156,,colistin
cat,MO65211PPY15019,IncFII(pRSB107)_pRSB107,plasmid,IncFII(pRSB107)_pRSB107,,MULTI-DRUG
cat,MO65211PPY15019,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,MO65211PPY15019,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
cat,NY14853PPY10022,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,NY14853PPY10022,pESA2,plasmid,pESA2,,MULTI-DRUG
cat,NY14853PPY10022,ColRNAI,plasmid,ColRNAI,,colistin
cat,NY14853PPY10022,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,NY14853PPY10165,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,NY14853PPY10165,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
cat,NY14853PPY10165,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
cat,NY14853PPY10165,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,OH43068PPY10027,aph(6)-Id,chromosome,APH(6)-Id,APH(6),aminoglycoside
cat,OH43068PPY10027,aph(3'')-Ib,chromosome,APH(3'')-Ib,APH(3''),aminoglycoside
cat,OH43068PPY10027,blaTEM-150,chromosome,blaTEM-150,TEM,beta-lactam
cat,OH43068PPY10027,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,OH43068PPY10027,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
cat,OH43068PPY10027,pESA2,plasmid,pESA2,,MULTI-DRUG
cat,OH43068PPY10027,ColRNAI,plasmid,ColRNAI,,colistin
cat,OH43068PPY10027,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,OH43068PPY10027,blaTEM-1A,chromosome,blaTEM-1A,TEM,beta-lactam
cat,SD57007PPY10001,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,SD57007PPY10001,qnrB19,chromosome,qnrB19,qnr,fluoroquinolone
cat,SD57007PPY10001,Col440I,plasmid,Col440I,,colistin
cat,SD57007PPY10001,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,SD57007PPY10089,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,SD57007PPY10089,ColpVC,plasmid,ColpVC,,colistin
cat,SD57007PPY10089,Col156,plasmid,Col156,,colistin
cat,SD57007PPY10089,ColRNAI,plasmid,ColRNAI,,colistin
cat,SD57007PPY10089,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,TX77840PPY10838,blaEC-19,chromosome,blaEC-19,ampC,beta-lactam
cat,TX77840PPY10838,IncFII(pSE11)_pSE11,plasmid,IncFII(pSE11)_pSE11,,MULTI-DRUG
cat,TX77840PPY10838,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,TX77840PPY11714,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
cat,TX77840PPY11714,ColpVC,plasmid,ColpVC,,colistin
cat,TX77840PPY11714,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,WA99164PPY10024,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
cat,WA99164PPY10024,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,WA99164PPY10024,IncB/O/K/Z,plasmid,IncB/O/K/Z,,MULTI-DRUG
cat,WA99164PPY10024,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
cat,WA99164PPY10024,Col156,plasmid,Col156,,colistin
cat,WA99164PPY10024,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
cat,WA99164PPY10024,IncFII(29)_pUTI89,plasmid,IncFII(29)_pUTI89,,MULTI-DRUG
cat,WA99164PPY10024,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,WA99164PPY10024,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
cat,WA99164PPY10051,blaEC-19,chromosome,blaEC-19,ampC,beta-lactam
cat,WA99164PPY10051,Col156,plasmid,Col156,,colistin
cat,WA99164PPY10051,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,WI53706PPY10161,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,WI53706PPY10161,pESA2,plasmid,pESA2,,MULTI-DRUG
cat,WI53706PPY10161,ColRNAI,plasmid,ColRNAI,,colistin
cat,WI53706PPY10161,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
cat,WI53706PPY10184,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
cat,WI53706PPY10184,tet(B),chromosome,tet(B),MFS,tetracycline
cat,WI53706PPY10184,aph(6)-Id,chromosome,APH(6)-Id,APH(6),aminoglycoside
cat,WI53706PPY10184,aph(3'')-Ib,chromosome,APH(3'')-Ib,APH(3''),aminoglycoside
cat,WI53706PPY10184,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
cat,WI53706PPY10184,ColRNAI,plasmid,ColRNAI,,colistin
cat,WI53706PPY10184,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
cat,WI53706PPY10184,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
cat,WI53706PPY10184,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,CA95616PPY10009,blaEC,chromosome,blaEC,ampC,beta-lactam
chicken,CA95616PPY10009,sul2,chromosome,sul2,sul,sulfonamide
chicken,CA95616PPY10009,aadA1,chromosome,aadA1,ANT(3''),aminoglycoside
chicken,CA95616PPY10009,aac(3)-VIa,chromosome,AAC(3)-VIa,AAC(3),aminoglycoside
chicken,CA95616PPY10009,sul1,chromosome,sul1,sul,sulfonamide
chicken,CA95616PPY10009,aph(3'')-Ib,chromosome,APH(3'')-Ib,APH(3''),aminoglycoside
chicken,CA95616PPY10009,aph(6)-Id,chromosome,APH(6)-Id,APH(6),aminoglycoside
chicken,CA95616PPY10009,aac(3)-IVa,chromosome,AAC(3)-IVa,AAC(3),aminoglycoside
chicken,CA95616PPY10009,aac(3)-IVa,chromosome,AAC(3)-IV,AAC(3),aminoglycoside
chicken,CA95616PPY10009,aph(4)-Ia,chromosome,APH(4)-Ia,APH(3'),aminoglycoside
chicken,CA95616PPY10009,tet(B),chromosome,tet(B),MFS,tetracycline
chicken,CA95616PPY10009,Col(MG828),plasmid,Col(MG828),,colistin
chicken,CA95616PPY10009,p0111,plasmid,p0111,,MULTI-DRUG
chicken,CA95616PPY10009,IncHI2,plasmid,IncHI2,,MULTI-DRUG
chicken,CA95616PPY10009,RepA_pKPC-CAV1321,plasmid,RepA_pKPC-CAV1321,,MULTI-DRUG
chicken,CA95616PPY10009,IncHI2A,plasmid,IncHI2A,,MULTI-DRUG
chicken,CA95616PPY10009,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,CA95616PPY10009,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,CA95616PPY10009,ant(3'')-Ia,chromosome,ANT(3'')-Ia,	ANT(3''),aminoglycoside
chicken,CA95616PPY10009,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,FL34741PPY10020,blaEC-13,chromosome,blaEC-13,ampC,beta-lactam
chicken,FL34741PPY10020,blaOXA-60,chromosome,OXA-60,OXA,beta-lactam
chicken,FL34741PPY10020,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
chicken,FL34741PPY10020,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,FL34741PPY10020,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,FL34741PPY10020,ColRNAI,plasmid,ColRNAI,,colistin
chicken,FL34741PPY10020,blaOXA-60b,chromosome,OXA-60b,OXA,beta-lactam
chicken,FL34741PPY10020,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,FL34741PPY10023,blaEC-13,chromosome,blaEC-13,ampC,beta-lactam
chicken,FL34741PPY10023,IncY,plasmid,IncY,,MULTI-DRUG
chicken,FL34741PPY10023,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,FL34741PPY10023,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,FL34741PPY10023,ColRNAI,plasmid,ColRNAI,,colistin
chicken,FL34741PPY10023,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,GA30602PPY10241,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,GA30602PPY10241,tet(34),chromosome,tet34,tet,tetracycline
chicken,GA30602PPY10241,p0111,plasmid,p0111,,MULTI-DRUG
chicken,GA30602PPY10241,IncHI1B(CIT)_pNDM-CIT,plasmid,IncHI1B(CIT)_pNDM-CIT,,MULTI-DRUG
chicken,GA30602PPY10241,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,GA30602PPY10242,tet(34),chromosome,tet34,tet,tetracycline
chicken,GA30602PPY10242,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
chicken,GA30602PPY10242,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,GA30602PPY10242,ColRNAI,plasmid,ColRNAI,,colistin
chicken,GA30602PPY10242,Col156,plasmid,Col156,,colistin
chicken,GA30602PPY10242,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,GA30602PPY10242,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,IN47907PPY10070,blaEC-5,chromosome,blaEC-5,ampC,beta-lactam
chicken,IN47907PPY10070,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,IN47907PPY10070,Col156,plasmid,Col156,,colistin
chicken,IN47907PPY10070,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,IN47907PPY10070,ColRNAI,plasmid,ColRNAI,,colistin
chicken,IN47907PPY10070,Col(MG828),plasmid,Col(MG828),,colistin
chicken,IN47907PPY10070,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,IN47907PPY10207,tet(34),chromosome,tet34,tet,tetracycline
chicken,IN47907PPY10207,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,IN47907PPY10207,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,KY40511PPY10009,aph(3')-Ia,chromosome,APH(3')-Ia,APH(3'),aminoglycoside
chicken,KY40511PPY10009,blaEC-8,chromosome,blaEC-8,ampC,beta-lactam
chicken,KY40511PPY10009,tet(34),chromosome,tet34,tet,tetracycline
chicken,KY40511PPY10009,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
chicken,KY40511PPY10009,aac(3)-IId,chromosome,AAC(3)-IId,AAC(3),aminoglycoside
chicken,KY40511PPY10009,aac(3)-IId,chromosome,AAC(3)-Iid,AAC(3),aminoglycoside
chicken,KY40511PPY10009,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,KY40511PPY10009,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,KY40511PPY10009,Col(MG828),plasmid,Col(MG828),,colistin
chicken,KY40511PPY10009,IncFII(pCoo)_pCoo,plasmid,IncFII(pCoo)_pCoo,,MULTI-DRUG
chicken,KY40511PPY10009,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
chicken,KY40511PPY10009,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,KY40511PPY10009,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
chicken,KY40511PPY10137,blaEC-19,chromosome,blaEC-19,ampC,beta-lactam
chicken,KY40511PPY10137,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,KY40511PPY10137,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,KY40511PPY10137,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,MO65211PPY13006,tet(34),chromosome,tet34,tet,tetracycline
chicken,MO65211PPY13006,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,MO65211PPY13006,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,MO65211PPY13006,ColRNAI,plasmid,ColRNAI,,colistin
chicken,MO65211PPY13006,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,MO65211PPY13006,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
chicken,MO65211PPY13006,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,NE68583PPY10047,tet(34),chromosome,tet34,tet,tetracycline
chicken,NE68583PPY10047,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,NE68583PPY10047,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,NE68583PPY10047,fosA7,chromosome,fosA7,Fos,fosfomycin
chicken,NE68583PPY10047,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,NE68583PPY10047,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,NE68583PPY10047,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,NY14853PPY10134,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,NY14853PPY10134,tet(34),chromosome,tet34,tet,tetracycline
chicken,NY14853PPY10134,blaEC-15,chromosome,blaEC-15,ampC,beta-lactam
