sample_id,mic_id,phenotype,breakpoint
AL36849PPY10001,amikacin,S,clsi
AL36849PPY10052,amikacin,S,clsi
CO80526PPY10041,amikacin,S,clsi
CO80526PPY10059,amikacin,S,clsi
GA30602PPY10081,amikacin,S,clsi
GA30602PPY10103,amikacin,S,clsi
IN47907PPY10024,amikacin,S,clsi
IN47907PPY10174,amikacin,S,clsi
KY40511PPY10002,amikacin,S,clsi
KY40511PPY10084,amikacin,S,clsi
MI48910PPY10083,amikacin,S,clsi
MI48910PPY10087,amikacin,I,clsi
MO65211PPY10003,amikacin,S,clsi
MO65211PPY15006,amikacin,S,clsi
NE68583PPY10034,amikacin,S,clsi
NE68583PPY10133,amikacin,S,clsi
NY14853PPY10003,amikacin,S,clsi
NY14853PPY10073,amikacin,S,clsi
OH43068PPY10064,amikacin,S,clsi
SD57007PPY10006,amikacin,S,clsi
SD57007PPY10087,amikacin,S,clsi
TX77840PPY10812,amikacin,S,clsi
TX77840PPY10871,amikacin,S,clsi
WA99164PPY10004,amikacin,S,clsi
WA99164PPY10069,amikacin,S,clsi
WI53706PPY10178,amikacin,S,clsi
WI53706PPY10194,amikacin,S,clsi
AL36849PPY10067,amikacin,S,clsi
AL36849PPY10085,amikacin,S,clsi
CA95616PPY10118,amikacin,S,clsi
CA95616PPY10185,amikacin,S,clsi
CO80526PPY10196,amikacin,S,clsi
CO80526PPY10201,amikacin,S,clsi
FL34741PPY10002,amikacin,S,clsi
FL34741PPY10012,amikacin,S,clsi
GA30602PPY10281,amikacin,S,clsi
GA30602PPY10299,amikacin,S,clsi
IN47907PPY10249,amikacin,S,clsi
KY40511PPY10028,amikacin,R,clsi
KY40511PPY10087,amikacin,S,clsi
MO65211PPY10032,amikacin,S,clsi
MO65211PPY14006,amikacin,S,clsi
NE68583PPY10116,amikacin,S,clsi
NE68583PPY10163,amikacin,S,clsi
NY14853PPY10006,amikacin,S,clsi
NY14853PPY10171,amikacin,S,clsi
PA19348PPY10015,amikacin,S,clsi
SD57007PPY10014,amikacin,S,clsi
TX77840PPY10792,amikacin,S,clsi
TX77840PPY11408,amikacin,S,clsi
AL36849PPY20023,amikacin,S,clsi
AL36849PPY20062,amikacin,S,clsi
AL36849PPY20096,amikacin,S,clsi
AL36849PPY20137,amikacin,I,clsi
AL36849PPY20157,amikacin,S,clsi
CO80526PPY20336,amikacin,S,clsi
CO80526PPY20374,amikacin,I,clsi
FL34741PPY20021,amikacin,S,clsi
FL34741PPY20053,amikacin,S,clsi
FL34741PPY20080,amikacin,S,clsi
FL34741PPY20095,amikacin,S,clsi
GA30602PPY20001,amikacin,S,clsi
GA30602PPY20013,amikacin,S,clsi
GA30602PPY20042,amikacin,S,clsi
IN47907PPY20299,amikacin,S,clsi
IN47907PPY20306,amikacin,S,clsi
IN47907PPY20388,amikacin,S,clsi
IN47907PPY20482,amikacin,S,clsi
IN47907PPY20565,amikacin,S,clsi
KS66506PPY20021,amikacin,S,clsi
KS66506PPY20059,amikacin,S,clsi
KS66506PPY20096,amikacin,S,clsi
KS66506PPY20185,amikacin,S,clsi
KY40511PPY20014,amikacin,S,clsi
KY40511PPY20105,amikacin,R,clsi
KY40511PPY20167,amikacin,S,clsi
KY40511PPY20170,amikacin,S,clsi
KY40511PPY20285,amikacin,S,clsi
LA70803PPY20005,amikacin,I,clsi
LA70803PPY20015,amikacin,S,clsi
LA70803PPY20034,amikacin,S,clsi
LA70803PPY20065,amikacin,S,clsi
LA70803PPY24120,amikacin,S,clsi
MI48910PPY20012,amikacin,S,clsi
MI48910PPY20085,amikacin,S,clsi
MI48910PPY20150,amikacin,S,clsi
