test_type_antibiotic_class,test_type_common_name,mic_id,breakpoint_id
aminocoumarin,novobiocin,novobiocin,
aminocyclitol,spectinomycin,spectinomycin,Spectinomycin
aminoglycoside,amikacin,amikacin,Amikacin
aminoglycoside,gentamicin,gentamicin,Gentamicin
aminoglycoside,neomycin,neomycin,
aminoglycoside,streptomycin,streptomycin,
ansamycin,rifampin,rifampin,
beta-lactam,amoxicillin+clavulanate,amoxicillin_clavulanic_acid,Amoxicillin/Clavulanic acid
beta-lactam,piperacillin+tazobactam,piperacillin_tazobactam,Piperacillin/tazobactam
beta-lactam,ticarcillin,ticarcillin,
beta-lactam,,cephalexin,Cephalexin
beta-lactam,,cephalothin,Cephalothin
beta-lactam,,cefovecin,Cefovecin
beta-lactam,,cefpodoxime,Cefpodoxime 
beta-lactam,,ceftazidime,Ceftazidime
beta-lactam,,ceftiofur,Ceftiofur
beta-lactam,,amoxicillin,
beta-lactam,,cefazolin,Cefazolin
beta-lactam,,ampicillin,Ampicillin
beta-lactam,,oxacillin,
beta-lactam,,ticarcillin_clavulanic_acid,
beta-lactam,,penicillin,Penicillin
beta-lactam,imipenem,imipenem,
fluoroquinolone,danofloxacin,danofloxacin,Danofloxacin
fluoroquinolone,enrofloxacin,enrofloxacin,Enrofloxacin
fluoroquinolone,enrofloxacin,enrofloxacin_l,Enrofloxacin
fluoroquinolone,marbofloxacin,marbofloxacin,Marbofloxacin
fluoroquinolone,orbifloxacin,orbifloxacin,Orbifloxacin
fluoroquinolone,pradofloxacin,pradofloxacin,Pradofloxacin
folate pathway antagonist,sulfadimethoxine,,
folate pathway antagonist,sulfathiazole,,
folate pathway antagonist,trimethoprim+sulfamethoxazole,trimethoprim_sulfamethoxazole,
folate pathway antagonist,trimethoprim+sulfamethoxazole,,
glycopeptide,vancomycin,vancomycin,
lincosamide,clindamycin,clindamycin,Clindamycin
macrolide,azithromycin,azithromycin,
macrolide,clarithromycin,clarithromycin,
macrolide,erythromycin,erythromycin,
macrolide,gamithromycin,gamithromycin,Gamithromycin
macrolide,tildipirosin,tildipirosin,Tildipirosin
macrolide,tilmicosin,tilmicosin,Tilmicosin
macrolide,tulathromycin,tulathromycin,Tulathromycin
macrolide,tylosin,tylosin_tartrate,
nitrofuran,nitrofurantoin,nitrofurantoin,
phenicol,chloramphenicol,chloramphenicol,
phenicol,florfenicol,florfenicol,Florfenicol 
pleuromutilin,tiamulin,tiamulin,
tetracycline,chlortetracycline,chlortetracycline,Chlortetracycline
tetracycline,doxycycline,doxycycline,Doxycycline
tetracycline,minocycline,minocycline,Minocycline
tetracycline,oxytetracycline,oxytetracycline,Oxytetracycline
tetracycline,tetracycline,tetracycline,Tetracycline
aminoglycoside,kanamycin,,
aminoglycoside,tobramycin,,
aminoglycoside,sisomicin,,
aminoglycoside,plazomicin,,
aminoglycoside,apramycin,,
aminoglycoside,g418,,
aminoglycoside,ribostamycin,,
aminoglycoside,paromomycin,,
aminoglycoside,lividomycin a,,
aminoglycoside,lividomycin b,,
aminoglycoside,butirosin,,
aminoglycoside,hygromycin b,,
aminoglycoside,dibekacin,,
aminoglycoside,netilmicin,,
aminoglycoside,isepamicin,,
aminoglycoside,arbekacin,,
rifamycin,rifaximin,,
rifamycin,rifabutin,,
rifamycin,rifapentine,,
cephamycin,cefoxitin,,
cephamycin,cephamycin,,
cephalosporin,ceftriaxone,,
carbapenem,ertapenem,,
cephalosporin,cefixime,,
cephalosporin,cefalotin,,
phenicol,azidamfenicol,,
phenicol,thiamphenicol,,
fluoroquinolone,ciprofloxacin,,
diaminopyrimidine,trimethoprim,,
macrolide,roxithromycin,,
lincosamide,lincomycin,,
macrolide,telithromycin,,
macrolide,spiramycin,,
macrolide,dirithromycin,,
streptogramin,pristinamycin ia,,
streptogramin,pristinamycin ib,,
streptogramin,quinupristin,,
streptogramin,pristinamycin iia,,
streptogramin,madumycin ii,,
streptogramin,griseoviridin,,
streptogramin,dalfopristin,,
streptogramin,virginiamycin s2,,
streptogramin,vernamycin b-gamma,,
streptogramin,vernamycin c,,
streptogramin,patricin a,,
streptogramin,patricin b,,
streptogramin,ostreogrycin b3,,
macrolide,oleandomycin,,
undefined,fosfomycin,,
colistin,colistin a,,
colistin,colistin b,,
peptide,colistin a,,
peptide,colistin b,,
undefined,benzalkonium chloride,,
undefined,rhodamine,,
fluoroquinolone,levofloxacin,,
fluoroquinolone,moxifloxacin,,
fluoroquinolone,gatifloxacin,,
nalidixin,nalidixic acid,,
fluoroquinolone,norfloxacin,,
fluoroquinolone,sparfloxacin,,
sulfonamide,sulfadiazine,,
sulfonamide,sulfadimidine,,
sulfonamide,sulfadoxine,,
sulfonamide,sulfisoxazole,,
sulfonamide,sulfacetamide,,
sulfonamide,mafenide,,
sulfonamide,sulfasalazine,,
sulfonamide,sulfamethizole,sulphathiazole,
sulfonamide,sulphadimethoxine,sulphadimethoxine,
