gene,database,accession
A7J112581,ncbi,A7J11_02581
aac(3)-Ib,resfinder,L06157
aac(3)-Ib-aac(6')-Ib',resfinder,AF355189
aac(3)-Ic,ncbi,NG_048568.1
aac(3)-Ic,resfinder,AJ511268
aac(3)-Ic,amrfinder,WP_034006142.1
aac(3)-II,ncbi,NG_047231.1
aac(3)-II,amrfinder,WP_012695485.1
aac(3)-II,amrfinder,WP_000557454.1
aac(3)-IIa,ncbi,NG_047244.1
aac(3)-IIa,resfinder,X51534
aac(3)-IIa,ncbi,NG_047246.1
aac(3)-IIa,resfinder,L22613
aac(3)-IIa,amrfinder,WP_000557452.1
aac(3)-IIb,resfinder,M97172
aac(3)-IId,ncbi,NG_047251.1
aac(3)-IId,resfinder,EU022314
aac(3)-IId,ncbi,A7J11_00380
aac(3)-IId,amrfinder,WP_000557454.1
aac(3)-IId,amrfinder,NA
aac(3)-IIe,amrfinder,WP_000557452.1
aac(3)-IIg,amrfinder,WP_012695485.1
aac(3)-IV,amrfinder,WP_001199192.1
aac(3)-IVa,ncbi,NG_047254.1
aac(3)-IVa,resfinder,X01385
aac(3)-IVa,amrfinder,WP_001199192.1
aac(3)-VIa,ncbi,NG_047262.1
aac(3)-VIa,resfinder,NC_009838
aac(3)-VIa,resfinder,M88012
aac(3)-VIa,ncbi,NG_052583.3
aac(3)-VIa,amrfinder,WP_000131886.1
aac(6')-Ib,ncbi,NG_052358.1
aac(6')-Ib,ncbi,NG_052418.1
aac(6')-Ib,ncbi,NG_052057.1
aac(6')-Ib,ncbi,NG_052262.1
aac(6')-Ib,ncbi,NG_052361.1
aac(6')-Ib,amrfinder,WP_032488579.1
aac(6')-Ib,amrfinder,WP_022631510.1
aac(6')-Ib-AKT,ncbi,NG_052358.1
aac(6')-Ib-cr,resfinder,DQ303918
aac(6')-Ib-cr,ncbi,NG_052213.1
aac(6')-Ib-cr,amrfinder,WP_063840320.1
aac(6')-Ib-cr,amrfinder,WP_063840321.1
aac(6')-Ib-cr5,amrfinder,NA
aac(6')-Ib-cr5,amrfinder,WP_063840321.1
aac(6')-Ib3,amrfinder,WP_032488579.1
aac(6')-Ib4,ncbi,NG_051844.1
aac(6')-Ib4,amrfinder,WP_003159191.1
aac(6')-IIc,ncbi,NG_047273.1
aac(6')-IIc,resfinder,NC_012555
aac(6')-IIc,amrfinder,WP_012695484.1
aadA1,ncbi,NG_052266.1
aadA1,ncbi,NG_052247.1
aadA1,ncbi,NG_047324.1
aadA1,ncbi,NG_047325.1
aadA1,ncbi,NG_052230.1
aadA1,ncbi,NG_052136.1
aadA1,ncbi,NG_052279.1
aadA1,ncbi,NG_052028.1
aadA1,resfinder,JQ480156
aadA1,resfinder,FJ591054
aadA1,ncbi,NG_047327.1
aadA1,ncbi,NG_052146.1
aadA1,ncbi,NG_052179.1
aadA1,resfinder,JX185132
aadA1,ncbi,NG_052238.1
aadA1,resfinder,JQ414041
aadA1,amrfinder,WP_001206316.1
aadA1,amrfinder,WP_001209508.1
aadA1,amrfinder,WP_001206317.1
aadA1,amrfinder,WP_001206315.1
aadA10,resfinder,AM087405
aadA11,ncbi,NG_052308.1
aadA12,ncbi,NG_047333.1
aadA12,resfinder,AY665771
aadA12,ncbi,NG_052309.1
aadA12,amrfinder,WP_031306504.1
aadA13,ncbi,NG_047335.1
aadA13,resfinder,NC010643
aadA13,amrfinder,WP_012414180.1
aadA15,ncbi,NG_052144.1
aadA17,resfinder,FJ460181
aadA2,ncbi,NG_047343.1
aadA2,resfinder,NC_010870
aadA2,ncbi,NG_051846.1
aadA2,ncbi,NG_052156.1
aadA2,ncbi,NG_051848.1
aadA2,resfinder,JQ364967
aadA2,amrfinder,WP_001206356.1
aadA2,amrfinder,WP_071846198.1
aadA2,amrfinder,WP_001261740.1
aadA22,resfinder,AM261837
aadA22,ncbi,NG_047346.1
aadA22,ncbi,NG_047348.1
aadA22,amrfinder,WP_032491824.1
aadA22,amrfinder,WP_024198294.1
aadA25,ncbi,NG_052538.1
aadA25,amrfinder,WP_024131607.1
aadA5,ncbi,NG_047357.1
aadA5,resfinder,AF137361
aadA5,ncbi,A7J11_06257
aadA5,ncbi,NG_052148.1
aadA5,ncbi,NG_051903.1
aadA5,ncbi,NG_051894.1
aadA5,amrfinder,WP_000503573.1
aadA5,amrfinder,NA
aadA6,ncbi,NG_052539.1
aadA6,resfinder,AF140629
aadA6,ncbi,NG_047360.1
aadA6,amrfinder,WP_044067522.1
aadA6,amrfinder,WP_021529708.1
aadA7,ncbi,NG_047362.1
aadA7,resfinder,AF224733
aadA7,amrfinder,WP_001436322.1
ant(2'')-Ia,ncbi,NG_047387.1
ant(2'')-Ia,resfinder,X04555
ant(2'')-Ia,amrfinder,WP_000381802.1
