final_diagnosis,animal_infection_site_uti
cholangitis,Not UTI/urine/urinary tract
myringitis,Not UTI/urine/urinary tract
uti,UTI/urine/urinary tract
sinus infection,Not UTI/urine/urinary tract
parvo,Not UTI/urine/urinary tract
"pyothorax, bronchopneumonia",Not UTI/urine/urinary tract
no history - light growh of e. coli,Not UTI/urine/urinary tract
feline panleukopenia virus infection,Not UTI/urine/urinary tract
cystitus,Not UTI/urine/urinary tract
"feline panleukopenia, bacterial septicemia",Not UTI/urine/urinary tract
aerobic culture,Not UTI/urine/urinary tract
urine tract infection,Not UTI/urine/urinary tract
urinary tract infection,UTI/urine/urinary tract
enteritis,Not UTI/urine/urinary tract
uterine adenocarcinoma,Not UTI/urine/urinary tract
septic bowel,Not UTI/urine/urinary tract
e. coli,Not UTI/urine/urinary tract
colibacillosis,Not UTI/urine/urinary tract
necropsy,Not UTI/urine/urinary tract
pox-like lesions,Not UTI/urine/urinary tract
uri,Not UTI/urine/urinary tract
colibacilliosis,Not UTI/urine/urinary tract
colibacillosis/egg yolk peritonitis,Not UTI/urine/urinary tract
"septicemia, peritonitis",Not UTI/urine/urinary tract
salpingitis and egg yolk peritonitis,Not UTI/urine/urinary tract
"mild enteritis--coccidia detected
",Not UTI/urine/urinary tract
"air sacc ecol ---->lung-airsacculitis(b), escherichia coli",Not UTI/urine/urinary tract
infection,Not UTI/urine/urinary tract
pasteurellosis,Not UTI/urine/urinary tract
omphalitis,Not UTI/urine/urinary tract
mixed bacterial infection including e. coli,Not UTI/urine/urinary tract
coelomitis,Not UTI/urine/urinary tract
bacterial septicemia,Not UTI/urine/urinary tract
bacterial infection,Not UTI/urine/urinary tract
gastric torsion,Not UTI/urine/urinary tract
mycoplasma wenyonii infection,Not UTI/urine/urinary tract
bacterial pleuropneumonia,Not UTI/urine/urinary tract
septicemia,Not UTI/urine/urinary tract
subacute interstitial pneumonia,Not UTI/urine/urinary tract
scours,Not UTI/urine/urinary tract
diarrhea,Not UTI/urine/urinary tract
aborted fetus,Not UTI/urine/urinary tract
sepsis/endotoxemia,Not UTI/urine/urinary tract
omphalophlebitis and septicemia,Not UTI/urine/urinary tract
neutrophilic and eosinophilic enteritis,Not UTI/urine/urinary tract
locally extensive necrosuppurative esophagitis,Not UTI/urine/urinary tract
mastitis,Not UTI/urine/urinary tract
coronavirus,Not UTI/urine/urinary tract
calf diarrhea,Not UTI/urine/urinary tract
coccidial infection,Not UTI/urine/urinary tract
enteritis - rotavirus positive,Not UTI/urine/urinary tract
"septicemia, enteritis, pneumonia",Not UTI/urine/urinary tract
suspected pneumonia,Not UTI/urine/urinary tract
pneumonia,Not UTI/urine/urinary tract
enteritis / cryptosporidiosis,Not UTI/urine/urinary tract
nephritis,Not UTI/urine/urinary tract
enterocolitis,Not UTI/urine/urinary tract
"coronaviral enteritis, enteric cryptosporidiosis and atrophy of fat",Not UTI/urine/urinary tract
histophilus somni and bibersteinia,Not UTI/urine/urinary tract
prostatic cyst,Not UTI/urine/urinary tract
"cholecystitis and cholangiohepatitis, fibrinonecrotic, suppurative and lymphoplasmacytic, subacute, regionally extensive with hemorrhage and myriad mixed bacterial populations; cholecystic cystic mucinous hyperplasia, mild, chronic with inspissated secretion",Not UTI/urine/urinary tract
chronic otitis,Not UTI/urine/urinary tract
cellulitus,Not UTI/urine/urinary tract
vaginitis,Not UTI/urine/urinary tract
n/a,Not UTI/urine/urinary tract
aerobic culture/urinary tract infection,UTI/urine/urinary tract
prostatitis,Not UTI/urine/urinary tract
bronchopneumonia,Not UTI/urine/urinary tract
chronic colitis,Not UTI/urine/urinary tract
otitis externa,Not UTI/urine/urinary tract
abscess,Not UTI/urine/urinary tract
