"","num","equal","phenotype","test_result_threshold_mic_sensitive_max","test_result_threshold_mic_intermediate_min","test_result_threshold_mic_intermediate_max","test_result_threshold_mic_resistant_min","t_ecoff","n"
"1",0.06,"<=","S",0.125,0.25,0.25,0.5,0.125,1
"2",0.06,"<=","S",0.125,0.25,0.25,0.5,4,3
"3",0.12,"<=","S",0.25,0.5,1,2,0.125,130
"4",0.12,"<=","S",0.5,1,2,4,0.125,198
"5",0.12,"<=","S",1,2,2,4,NA,197
"6",0.125,"<=","S",0.25,0.5,1,2,0.125,15
"7",0.125,"<=","S",0.5,1,2,4,0.125,40
"8",0.125,"<=","S",1,2,2,4,NA,41
"9",0.13,"<=","S",0.25,0.5,1,2,0.125,3
"10",0.13,"<=","S",0.5,1,2,4,0.125,2
"11",0.13,"<=","S",1,2,2,4,NA,2
"12",0.25,"<=","NI",0.03,0.06,0.125,0.25,8,3
"13",0.25,"<=","NI",0.125,0.25,0.25,0.5,0.125,124
"14",0.25,"<=","NI",0.125,0.25,0.25,0.5,4,2
"15",0.25,"<=","S",0.25,0.5,0.5,1,8,4
"16",0.25,"<=","S",0.25,0.5,0.5,1,NA,1
"17",0.25,"<=","S",0.25,0.5,1,2,NA,259
"18",0.25,"<=","S",0.5,1,2,4,0.125,1
"19",0.25,"<=","S",2,4,4,8,1,43
"20",0.25,"<=","S",2,4,4,8,2,11
"21",0.25,"<=","S",2,4,4,8,NA,8
"22",0.25,"=","S",0.25,0.5,1,2,0.125,7
"23",0.25,"=","S",0.5,1,2,4,0.125,7
"24",0.25,"=","S",1,2,2,4,NA,6
"25",0.5,"=","I",0.25,0.5,0.5,1,NA,1
"26",0.5,"=","I",0.25,0.5,1,2,0.125,2
"27",0.5,"=","R",0.03,0.06,0.125,0.25,8,1
"28",0.5,"=","R",0.125,0.25,0.25,0.5,0.125,3
"29",0.5,"=","R",0.125,0.25,0.25,0.5,4,1
"30",0.5,"=","S",0.5,1,2,4,0.125,9
"31",0.5,"=","S",1,2,2,4,NA,9
"32",0.5,"=","S",2,4,4,8,1,92
"33",0.5,"=","S",2,4,4,8,2,119
"34",0.5,"=","S",2,4,4,8,NA,52
"35",1,"<=","S",1,2,2,4,NA,1
"36",1,"<=","S",1,2,4,8,NA,250
"37",1,"<=","S",2,4,4,8,2,246
"38",1,"<=","S",2,4,4,8,4,18
"39",1,"<=","S",16,NA,NA,32,4,9
"40",1,"=","I",0.25,0.5,1,2,0.125,2
"41",1,"=","I",0.25,0.5,1,2,NA,1
"42",1,"=","I",0.5,1,2,4,0.125,2
"43",1,"=","R",0.03,0.06,0.125,0.25,8,4
"44",1,"=","R",0.125,0.25,0.25,0.5,0.125,1
"45",1,"=","R",0.125,0.25,0.25,0.5,4,1
"46",1,"=","R",0.25,0.5,0.5,1,8,19
