gene,gene_type,sum,prop
mdf(A),chromosome,976,0.9959183673469387
blaEC,chromosome,709,0.7234693877551021
IncFIB(AP001918),plasmid,508,0.5183673469387755
tet(34),chromosome,484,0.49387755102040815
IncFIC(FII),plasmid,441,0.45
ColRNAI,plasmid,354,0.36122448979591837
blaEC-5,chromosome,307,0.31326530612244896
blaEC-18,chromosome,269,0.27448979591836736
blaTEM-1,chromosome,263,0.2683673469387755
ant(3'')-Ia,chromosome,254,0.25918367346938775
sul2,chromosome,247,0.25204081632653064
aph(3'')-Ib,chromosome,243,0.2479591836734694
aph(6)-Id,chromosome,239,0.24387755102040817
blaTEM-1B,chromosome,225,0.22959183673469388
tet(A),chromosome,216,0.22040816326530613
Col(MG828),plasmid,180,0.1836734693877551
Col156,plasmid,180,0.1836734693877551
tet(B),chromosome,180,0.1836734693877551
IncI1_Alpha,plasmid,160,0.16326530612244897
IncFIA,plasmid,142,0.14489795918367346
sul1,chromosome,136,0.13877551020408163
qacEdelta1,chromosome,126,0.12857142857142856
aph(3')-Ia,chromosome,124,0.12653061224489795
aadA1,chromosome,113,0.11530612244897959
blaEC-13,chromosome,107,0.10918367346938776
floR,chromosome,106,0.10816326530612246
IncX1,plasmid,97,0.09897959183673469
blaCMY-2,chromosome,93,0.09489795918367347
IncFII,plasmid,86,0.08775510204081632
blaEC-15,chromosome,77,0.07857142857142857
aadA5,chromosome,74,0.07551020408163266
dfrA17,chromosome,73,0.07448979591836735
Col440I,plasmid,72,0.07346938775510205
IncQ1,plasmid,66,0.0673469387755102
aac(3)-IId,chromosome,64,0.0653061224489796
IncY,plasmid,63,0.06428571428571428
aadA2,chromosome,62,0.06326530612244897
mph(A),chromosome,61,0.06224489795918367
IncB/O/K/Z,plasmid,56,0.05714285714285714
IncI2_Delta,plasmid,56,0.05714285714285714
sul3,chromosome,54,0.05510204081632653
qacL,chromosome,53,0.05408163265306123
p0111,plasmid,52,0.053061224489795916
blaEC-8,chromosome,51,0.05204081632653061
IncFIA(HI1)_HI1,plasmid,50,0.05102040816326531
IncFII(29)_pUTI89,plasmid,50,0.05102040816326531
mef(B),chromosome,50,0.05102040816326531
IncFII(pHN7A8)_pHN7A8,plasmid,47,0.04795918367346939
IncFII(pRSB107)_pRSB107,plasmid,47,0.04795918367346939
dfrA12,chromosome,43,0.04387755102040816
Col440II,plasmid,42,0.04285714285714286
Col8282,plasmid,42,0.04285714285714286
aac(3)-VIa,chromosome,41,0.04183673469387755
