gene,gene_type,cattle,dog,cat,horse,chicken,swine,turkey
mdf(A),chromosome,196,193,173,151,120,101,42
blaEC,chromosome,172,132,72,116,98,87,32
IncFIB(AP001918),plasmid,141,86,44,34,101,64,38
blaEC-5,chromosome,5,102,131,20,23,9,17
IncFIC(FII),plasmid,125,57,51,45,78,51,34
tet(34),chromosome,125,58,29,107,68,79,18
aph(3'')-Ib,chromosome,91,37,13,48,12,28,14
aph(6)-Id,chromosome,90,34,13,48,12,28,14
sul2,chromosome,90,32,7,55,13,34,16
ColRNAI,plasmid,87,37,70,44,49,43,24
tet(A),chromosome,85,23,8,15,31,42,12
blaEC-18,chromosome,82,34,24,71,26,25,7
floR,chromosome,70,8,1,7,3,15,2
ant(3'')-Ia,chromosome,68,39,12,50,24,46,15
blaTEM-1,chromosome,67,42,50,21,25,44,14
Col156,plasmid,20,41,63,19,21,7,9
blaTEM-1B,chromosome,49,37,48,17,21,40,13
IncFIA,plasmid,48,26,14,22,15,9,8
tet(B),chromosome,47,29,11,26,9,42,16
aph(3')-Ia,chromosome,46,10,2,13,8,32,13
Col(MG828),plasmid,24,19,19,27,43,22,26
sul1,chromosome,42,18,10,23,13,23,7
qacEdelta1,chromosome,40,18,7,20,13,22,6
aadA1,chromosome,38,10,2,14,19,23,7
IncI1_Alpha,plasmid,37,30,17,13,26,24,13
blaEC-13,chromosome,31,9,NA,30,12,19,6
blaCMY-2,chromosome,23,31,9,7,5,16,2
blaEC-15,chromosome,28,4,1,3,19,18,4
Col440I,plasmid,14,8,3,11,5,28,3
IncY,plasmid,27,9,3,8,2,13,1
aadA2,chromosome,23,4,NA,8,4,21,2
IncFII,plasmid,22,11,13,8,7,22,3
pESA2,plasmid,1,2,22,9,NA,NA,NA
dfrA17,chromosome,16,22,6,20,1,6,2
IncX1,plasmid,18,12,12,10,14,21,10
qacL,chromosome,18,5,NA,4,4,21,1
sul3,chromosome,17,5,NA,5,4,21,2
aadA5,chromosome,17,20,6,21,1,7,2
IncB/O/K/Z,plasmid,15,2,7,21,10,NA,1
dfrA12,chromosome,20,1,NA,5,3,13,1
IncFIA(HI1)_HI1,plasmid,7,5,3,20,3,12,NA
blaEC-19,chromosome,NA,20,11,2,2,1,NA
mef(B),chromosome,17,5,NA,4,3,19,2
IncFII(29)_pUTI89,plasmid,3,17,19,3,2,3,3
IncFII(pHN7A8)_pHN7A8,plasmid,18,9,2,11,3,3,1
IncQ1,plasmid,18,16,4,18,2,7,1
mph(A),chromosome,11,17,5,15,1,12,NA
aac(3)-VIa,chromosome,16,2,1,1,14,3,4
tet(M),chromosome,16,NA,1,NA,NA,9,NA
cmlA1,chromosome,9,7,NA,2,4,16,2
p0111,plasmid,11,6,1,8,16,8,2
Col440II,plasmid,15,5,11,1,1,6,3
aac(3)-IId,chromosome,12,10,3,15,14,6,4
IncHI2,plasmid,6,NA,NA,4,2,14,2
IncHI2A,plasmid,6,NA,NA,5,2,14,2
RepA_pKPC-CAV1321,plasmid,6,NA,NA,4,2,14,2
ColpVC,plasmid,3,5,4,1,14,NA,6
blaEC-8,chromosome,13,14,5,1,11,4,3
blaCTX-M-55,chromosome,13,4,NA,4,NA,6,2
dfrA1,chromosome,13,3,NA,13,3,3,2
IncN,plasmid,13,1,NA,3,3,6,NA
dfrA14,chromosome,11,8,NA,13,1,6,NA
IncFII(pRSB107)_pRSB107,plasmid,8,13,5,6,7,6,2
IncI2_Delta,plasmid,8,13,8,10,6,10,1
bleO,chromosome,NA,1,NA,NA,NA,12,NA
IncFII(pCoo)_pCoo,plasmid,2,9,2,2,12,9,2
catA1,chromosome,10,9,5,12,1,4,NA
IncHI1A,plasmid,2,2,1,12,1,9,NA
IncHI1B(R27)_R27,plasmid,1,2,1,12,1,9,NA
qacE,chromosome,NA,NA,NA,12,NA,1,1
blaCTX-M-15,chromosome,3,12,2,4,1,NA,NA
aadA12,chromosome,11,2,1,2,1,5,1
aph(3')-Ia0,chromosome,9,NA,NA,2,NA,11,NA
blaCTX-M-1,chromosome,2,1,NA,11,1,2,NA
lnu(F),chromosome,10,2,1,2,1,7,1
sul15,chromosome,10,NA,2,1,NA,1,NA
tet(C),chromosome,10,NA,NA,1,NA,NA,NA
IncX4,plasmid,5,5,3,5,4,10,4
IncHI1B(CIT)_pNDM-CIT,plasmid,NA,1,NA,1,10,NA,NA
blaTEM-150,chromosome,9,3,1,2,1,NA,1
blaTEM-1A,chromosome,9,3,1,2,1,NA,1
IncA/C2,plasmid,9,5,1,NA,1,9,NA
IncFIB(pKPHS1)_pKPHS1,plasmid,9,4,2,NA,3,3,1
IncR,plasmid,9,1,NA,NA,2,6,NA
Col8282,plasmid,8,9,5,1,4,9,6
IncFII(pSE11)_pSE11,plasmid,1,2,6,NA,1,9,NA
IncFIB(pHCM2)_pHCM2,plasmid,3,2,2,2,9,1,NA
aac(3)-IIa,chromosome,5,9,2,5,NA,6,2
aadA6,chromosome,8,NA,NA,1,NA,1,NA
dfrA5,chromosome,8,NA,NA,2,3,3,2
IncX3,plasmid,8,6,4,5,3,4,6
sat2,chromosome,8,1,NA,6,1,NA,1
sat2_gen,chromosome,8,1,NA,6,1,NA,1
IncFIB(K)_Kpn3,plasmid,2,NA,NA,3,NA,8,1
qnrB19,chromosome,2,NA,1,1,1,8,1
Col(BS512),plasmid,1,4,1,8,1,1,1
catB3,chromosome,3,8,3,5,NA,1,NA
aadA22,chromosome,7,4,NA,2,NA,4,1
aac(3)-Ib,chromosome,3,NA,NA,4,NA,7,NA
qnrS1,chromosome,2,NA,NA,2,NA,7,NA
ant(3'')-Ii-aac(6')-IId,chromosome,1,1,NA,7,NA,1,NA
catA2,chromosome,3,3,NA,7,NA,2,NA
Col(MP18),plasmid,NA,NA,NA,7,NA,NA,NA
aac(6')-Ib-cr,chromosome,1,7,3,4,NA,1,NA
aac(6')-Ib-cr5,chromosome,1,7,3,3,NA,NA,NA
blaOXA-1,chromosome,4,7,3,4,NA,1,NA
blaTEM,chromosome,6,1,2,NA,1,3,1
arr-3,chromosome,NA,NA,NA,6,NA,1,NA
ARR-3,chromosome,1,NA,1,6,NA,2,NA
aadA11,chromosome,5,NA,NA,NA,1,3,NA
dfrA10,chromosome,5,NA,NA,1,1,2,1
qacG2,chromosome,5,NA,1,NA,NA,1,NA
aac(3)-IVa,chromosome,NA,NA,NA,NA,1,5,2
aph(4)-Ia,chromosome,NA,NA,NA,NA,1,5,2
blaTEM-104,chromosome,3,2,1,NA,NA,5,NA
ColE10,plasmid,NA,NA,NA,NA,1,5,NA
erm(B),chromosome,NA,4,NA,NA,NA,5,NA
erm(B)8,chromosome,NA,4,NA,NA,NA,5,NA
sul10,chromosome,2,NA,NA,5,NA,5,NA
aac(6')-Ib4,chromosome,1,NA,NA,5,NA,NA,NA
arr,chromosome,NA,NA,1,5,NA,3,NA
